Sample	Run	Lane	Remote
halbarad-11-0-0	1325	1	ERR1728659
halbarad-11-0-0	1326	1	ERR1728658
halbarad-11-0-0	1327	1	ERR1728657
halbarad-11-0-0	1328	1	ERR1728656
scavenger-11-60-0	4266	1	ERR1728121
scavenger-11-60-0	4267	1	ERR1728120
scavenger-11-60-0	4268	1	ERR1728119
SID713A004-11-0-0	4903	1	ERR1728969
SID713A004-11-0-0	4904	1	ERR1728968
SID713A004-11-0-0	4905	1	ERR1728967
SID713A004-11-0-0	4906	1	ERR1728966
SID713A009-11-90-0	4907	1	ERR1729186
SID713A009-11-90-0	4908	1	ERR1729185
SID713A009-11-90-0	4909	1	ERR1729184
SID713A009-11-90-0	4910	1	ERR1729183
SID713A009-11-90-0	4911	1	ERR1728064
SID713A009-11-90-0	4912	1	ERR1728063
SID713A009-11-90-0	4913	1	ERR1728062
SID713A009-11-90-0	4914	1	ERR1728061
SID713A010-11-0-0	4915	1	ERR1729321
SID713A010-11-0-0	4916	1	ERR1729320
SID713A010-11-0-0	4917	1	ERR1729319
SID713A010-11-0-0	4918	1	ERR1729318
SID713A010-11-0-0	4919	1	ERR1728199
SID713A010-11-0-0	4920	1	ERR1728198
SID713A010-11-0-0	4921	1	ERR1728197
SID713A010-11-0-0	4922	1	ERR1728196
SID713A012-11-0-0	4923	1	ERR1729247
SID713A012-11-0-0	4924	1	ERR1729246
SID713A012-11-0-0	4925	1	ERR1729245
SID713A012-11-0-0	4926	1	ERR1729244
SID713A012-11-0-0	4927	1	ERR1728125
SID713A012-11-0-0	4928	1	ERR1728124
SID713A012-11-0-0	4929	1	ERR1728123
SID713A012-11-0-0	4930	1	ERR1728122
SID713A012-11-90-0	4931	1	ERR1728472
SID713A012-11-90-0	4932	1	ERR1728471
SID713A012-11-90-0	4933	1	ERR1728470
SID713A012-11-90-0	4934	1	ERR1728469
SID713A033-11-0-0	4935	1	ERR1728771
SID713A033-11-0-0	4936	1	ERR1728770
SID713A033-11-0-0	4937	1	ERR1728769
SID713A033-11-0-0	4938	1	ERR1728768
SID713A037-11-90-0	4939	1	ERR1729145
SID713A037-11-90-0	4940	1	ERR1729144
SID713A037-11-90-0	4941	1	ERR1729143
SID713A037-11-90-0	4942	1	ERR1729142
SID713A037-11-90-0	4943	1	ERR1728023
SID713A037-11-90-0	4944	1	ERR1728022
SID713A037-11-90-0	4945	1	ERR1728021
SID713A037-11-90-0	4946	1	ERR1728020
SID713A051-11-0-0	4947	1	ERR1728897
SID713A051-11-0-0	4948	1	ERR1728896
SID713A051-11-0-0	4949	1	ERR1728895
SID713A051-11-0-0	4950	1	ERR1728894
SID713B002-11-0-0	4951	1	ERR1728727
SID713B002-11-0-0	4952	1	ERR1728726
SID713B002-11-0-0	4953	1	ERR1728725
SID713B002-11-0-0	4954	1	ERR1728724
SID713B012-11-0-0	4955	1	ERR1728993
SID713B012-11-0-0	4956	1	ERR1728992
SID713B012-11-0-0	4957	1	ERR1728991
SID713B012-11-0-0	4958	1	ERR1728990
SID713B015-11-0-0	4959	1	ERR1729013
SID713B015-11-0-0	4960	1	ERR1729012
SID713B015-11-0-0	4961	1	ERR1729011
SID713B015-11-0-0	4962	1	ERR1729010
SID713B016-11-90-0	4963	1	ERR1728901
SID713B016-11-90-0	4964	1	ERR1728900
SID713B016-11-90-0	4965	1	ERR1728899
SID713B016-11-90-0	4966	1	ERR1728898
SID713B029-11-0-0	4967	1	ERR1728420
SID713B029-11-0-0	4968	1	ERR1728419
SID713B029-11-0-0	4969	1	ERR1728418
SID713B029-11-0-0	4970	1	ERR1728417
SID713B033-11-0-0	4971	1	ERR1729359
SID713B033-11-0-0	4972	1	ERR1729358
SID713B033-11-0-0	4973	1	ERR1729357
SID713B033-11-0-0	4974	1	ERR1729356
SID713B033-11-0-0	4975	1	ERR1728237
SID713B033-11-0-0	4976	1	ERR1728236
SID713B033-11-0-0	4977	1	ERR1728235
SID713B033-11-0-0	4978	1	ERR1728234
SID713B035-11-90-0	4979	1	ERR1728873
SID713B035-11-90-0	4980	1	ERR1728872
SID713B035-11-90-0	4981	1	ERR1728871
SID713B035-11-90-0	4982	1	ERR1728870
SID713B040-11-90-0	4983	1	ERR1729301
SID713B040-11-90-0	4984	1	ERR1729300
SID713B040-11-90-0	4985	1	ERR1729299
SID713B040-11-90-0	4986	1	ERR1729298
SID713B040-11-90-0	4987	1	ERR1728179
SID713B040-11-90-0	4988	1	ERR1728178
SID713B040-11-90-0	4989	1	ERR1728177
SID713B040-11-90-0	4990	1	ERR1728176
SID713B041-11-0-0	4991	1	ERR1728945
SID713B041-11-0-0	4992	1	ERR1728944
SID713B041-11-0-0	4993	1	ERR1728943
SID713B041-11-0-0	4994	1	ERR1728942
SID713B055-11-0-0	4995	1	ERR1728997
SID713B055-11-0-0	4996	1	ERR1728996
SID713B055-11-0-0	4997	1	ERR1728995
SID713B055-11-0-0	4998	1	ERR1728994
SID713B057-11-0-0	4999	1	ERR1728520
SID713B057-11-0-0	5000	1	ERR1728519
SID713B057-11-0-0	5001	1	ERR1728518
SID713B057-11-0-0	5002	1	ERR1728517
SID713B058-11-90-0	5003	1	ERR1729117
SID713B058-11-90-0	5004	1	ERR1729116
SID713B058-11-90-0	5005	1	ERR1729115
SID713B058-11-90-0	5006	1	ERR1729114
SID713B073-11-90-0	5007	1	ERR1728837
SID713B073-11-90-0	5008	1	ERR1728836
SID713B073-11-90-0	5009	1	ERR1728835
SID713B073-11-90-0	5010	1	ERR1728834
