Sample	Run	Lane	Remote
HCO11	1329	1	SRR1761667
HCO11	1330	1	SRR1761725
HCO12	1331	1	SRR1761668
HCO12	1332	1	SRR1761726
HCO53	1333	1	SRR1761669
HCO53	1334	1	SRR1761727
HCO61	1335	1	SRR1761670
HCO61	1336	1	SRR1761728
HCO67	1337	1	SRR1761730
HCO67	1338	1	SRR1761672
HCO70	1339	1	SRR1761731
HCO70	1340	1	SRR1761673
HCO74	1341	1	SRR1761733
HCO74	1342	1	SRR1761675
NO01	2438	1	SRR1761734
NO01	2439	1	SRR1761676
NO02	2440	1	SRR1761735
NO02	2441	1	SRR1761677
NO03	2442	1	SRR1761736
NO03	2443	1	SRR1761678
NO04	2444	1	SRR1761737
NO04	2445	1	SRR1761679
NO05	2446	1	SRR1761738
NO05	2447	1	SRR1761680
NO06	2448	1	SRR1761739
NO06	2449	1	SRR1761681
NO08	2450	1	SRR1761740
NO08	2451	1	SRR1761682
NO09	2452	1	SRR1761741
NO09	2453	1	SRR1761683
NO10	2454	1	SRR1761742
NO10	2455	1	SRR1761684
NO11	2456	1	SRR1761743
NO11	2457	1	SRR1761685
NO12	2458	1	SRR1761744
NO12	2459	1	SRR1761686
NO13	2460	1	SRR1761745
NO13	2461	1	SRR1761687
NO15	2462	1	SRR1761747
NO15	2463	1	SRR1761689
NO16	2464	1	SRR1761748
NO16	2465	1	SRR1761690
NO19	2466	1	SRR1761751
NO19	2467	1	SRR1761693
NO20	2468	1	SRR1761752
NO20	2469	1	SRR1761694
NO21	2470	1	SRR1761753
NO21	2471	1	SRR1761695
NO22	2472	1	SRR1761754
NO22	2473	1	SRR1761696
NO23	2474	1	SRR1761755
NO23	2475	1	SRR1761697
