Sample	Run	Lane	Remote
A01_02_1FE	1	1	SRR7658632
A02_01_1FE	2	1	SRR7658687
A03_01_1FE	3	1	SRR7658611
A04_01_1FE	4	1	SRR7658584
A04_04_1FE	5	1	SRR7658644
A05_01_1FE	6	1	SRR7658609
A06_01_1FE	7	1	SRR7658610
A07_01_1FE	8	1	SRR7658588
A08_01_1FE	9	1	SRR7658653
A09_01_1FE	10	1	SRR7658672
A09_02_1FE	11	1	SRR7658667
A10_01_1FE	12	1	SRR7658620
A10_02_1FE	13	1	SRR7658688
A11_01_1FE	14	1	SRR7658676
A13_01_1FE	15	1	SRR7658678
A13_03_1FE	16	1	SRR7658585
A14_01_1FE	17	1	SRR7658627
A15_02_1FE	18	1	SRR7658657
A19_01_1FE	19	1	SRR7658633
A20_01_1FE	20	1	SRR7658682
A20_03_1FE	21	1	SRR7658624
A22_01_1FE	22	1	SRR7658686
A23_01_1FE	23	1	SRR7658680
A24_02_1FE	24	1	SRR7658606
A24_04_1FE	25	1	SRR7658618
A25_01_1FE	26	1	SRR7658589
A27_02_1FE	27	1	SRR7658619
A28_02_1FE	28	1	SRR7658668
A29_01_1FE	29	1	SRR7658603
A32_01_1FE	30	1	SRR7658581
A34_01_1FE	31	1	SRR7658599
A34_02_1FE	32	1	SRR7658626
A35_01_1FE	33	1	SRR7658684
A36_01_1FE	34	1	SRR7658628
A36_02_1FE	35	1	SRR7658683
A39_01_1FE	36	1	SRR7658651
A39_02_1FE	37	1	SRR7658637
A39_04_1FE	38	1	SRR7658583
A40_02_1FE	39	1	SRR7658631
A41_01_1FE	40	1	SRR7658636
A42_02_1FE	41	1	SRR7658634
A43_02_1FE	42	1	SRR7658602
A44_01_1FE	43	1	SRR7658622
A45_02_1FE	44	1	SRR7658689
A46_01_1FE	45	1	SRR7658674
A46_02_1FE	46	1	SRR7658592
A47_01_1FE	47	1	SRR7658600
A47_02_1FE	48	1	SRR7658650
A48_01_1FE	49	1	SRR7658685
A48_05_1FE	50	1	SRR7658594
A49_01_1FE	51	1	SRR7658598
A53_01_1FE	52	1	SRR7658586
A54_02_1FE	53	1	SRR7658591
A55_01_1FE	54	1	SRR7658579
A55_02_1FE	55	1	SRR7658645
A56_01_1FE	56	1	SRR7658679
A58_01_1FE	57	1	SRR7658681
A58_03_1FE	58	1	SRR7658593
A59_01_1FE	59	1	SRR7658660
A62_01_1FE	60	1	SRR7658649
A62_03_1FE	61	1	SRR7658590
A66_02_1FE	62	1	SRR7658675
A67_01_1FE	63	1	SRR7658613
A68_01_1FE	64	1	SRR7658662
A69_01_1FE	65	1	SRR7658652
A69_02_1FE	66	1	SRR7658658
A70_01_1FE	67	1	SRR7658608
A70_03_1FE	68	1	SRR7658587
A72_01_1FE	69	1	SRR7658601
A72_02_1FE	70	1	SRR7658629
A73_01_1FE	71	1	SRR7658597
A73_02_1FE	72	1	SRR7658639
A75_02_1FE	73	1	SRR7658666
A79_02_1FE	74	1	SRR7658647
A81_01_1FE	75	1	SRR7658638
A81_03_1FE	76	1	SRR7658621
A82_02_1FE	77	1	SRR7658612
A83_02_1FE	78	1	SRR7658643
A85_01_1FE	79	1	SRR7658630
A88_02_1FE	80	1	SRR7658670
A89_01_1FE	81	1	SRR7658659
A89_02_1FE	82	1	SRR7658671
A90_03_1FE	83	1	SRR7658654
A90_04_1FE	84	1	SRR7658669
A91_01_1FE	85	1	SRR7658623
A91_02_1FE	86	1	SRR7658595
A92_01_1FE	87	1	SRR7658641
A93_01_1FE	88	1	SRR7658640
A94_01_1FE	89	1	SRR7658582
A94_02_1FE	90	1	SRR7658673
A94_03_1FE	91	1	SRR7658656
A95_01_1FE	92	1	SRR7658648
V01_01_1FE	5597	1	SRR7658646
V06_02_1FE	5598	1	SRR7658690
V07_01_2FE	5599	1	SRR7658596
V07_02_2FE	5600	1	SRR7658615
V12_01_2FE	5601	1	SRR7658580
V18_02_1FE	5602	1	SRR7658663
V19_01_2FE	5603	1	SRR7658677
V19_02_2FE	5604	1	SRR7658635
V30_01_1FE	5605	1	SRR7658642
V31_01_2FE	5606	1	SRR7658665
V32_02_2FE	5607	1	SRR7658616
V36_02_2FE	5608	1	SRR7658604
V40_01_1FE	5609	1	SRR7658661
V48_03_2FE	5610	1	SRR7658605
V50_01_1FE	5611	1	SRR7658614
V50_01_2FE	5612	1	SRR7658607
V50_02_1FE	5613	1	SRR7658625
V53_02_1FE	5614	1	SRR7658664
V54_01_1FE	5615	1	SRR7658655
