Sample	Run	Lane	Remote
M1.20.ST	1542	1	SRR2227561
M1.20.ST	1543	1	SRR2226874
M1.20.ST	1544	1	SRR2228161
M1.20.ST	1545	1	SRR2192756
M1.20.ST	1546	1	SRR2192831
M1.20.ST	1547	1	SRR2193437
M1.20.ST	1548	1	SRR2193552
M1.20.ST	1549	1	SRR2193844
M1.20.ST	1550	1	SRR2193868
M1.20.ST	1551	1	SRR2193955
M1.20.ST	1552	1	SRR2194032
M1.20.ST	1553	1	SRR2192741
M1.20.ST	1554	1	SRR2193612
M1.20.ST	1555	1	SRR2193890
M1.20.ST	1556	1	SRR2194107
M1.20.ST	1557	1	SRR2194650
M1.20.ST	1558	1	SRR2194845
M1.20.ST	1559	1	SRR2194940
M1.20.ST	1560	1	SRR2194979
M1.22.ST	1561	1	SRR2250199
M1.22.ST	1562	1	SRR2250295
M1.22.ST	1563	1	SRR2228053
M1.22.ST	1564	1	SRR2187632
M1.22.ST	1565	1	SRR2187640
M1.22.ST	1566	1	SRR2187679
M1.22.ST	1567	1	SRR2188031
M1.22.ST	1568	1	SRR2188033
M1.22.ST	1569	1	SRR2188061
M1.22.ST	1570	1	SRR2188070
M1.22.ST	1571	1	SRR2188079
M1.22.ST	1572	1	SRR2188721
M1.22.ST	1573	1	SRR2188752
M1.22.ST	1574	1	SRR2188757
M1.22.ST	1575	1	SRR2188980
M1.22.ST	1576	1	SRR2188982
M1.22.ST	1577	1	SRR2189008
M1.22.ST	1578	1	SRR2189033
M1.22.ST	1579	1	SRR2189047
M1.23.ST	1580	1	SRR2227356
M1.23.ST	1581	1	SRR2227641
M1.23.ST	1582	1	SRR2227893
M1.23.ST	1583	1	SRR2227959
M1.23.ST	1584	1	SRR2228027
M1.23.ST	1585	1	SRR2228187
M1.23.ST	1586	1	SRR2228188
M1.23.ST	1587	1	SRR2228240
M1.23.ST	1588	1	SRR2250477
M1.23.ST	1589	1	SRR2250560
M1.23.ST	1590	1	SRR2226901
M1.23.ST	1591	1	SRR2227335
M1.23.ST	1592	1	SRR2227992
M1.23.ST	1593	1	SRR2228040
