Sample	Run	Lane	Remote
SID010101	4282	1	SRR2938411
SID010101	4283	1	SRR2938133
SID010102	4284	1	SRR2938412
SID010102	4285	1	SRR2938134
SID010104	4286	1	SRR2938413
SID010104	4287	1	SRR2938135
SID010201	4288	1	SRR2938414
SID010201	4289	1	SRR2938136
SID010202	4290	1	SRR2938415
SID010202	4291	1	SRR2938137
SID010204	4292	1	SRR2938416
SID010204	4293	1	SRR2938138
SID010301	4294	1	SRR2938417
SID010301	4295	1	SRR2938139
SID010302	4296	1	SRR2938418
SID010302	4297	1	SRR2938140
SID010304	4298	1	SRR2938419
SID010304	4299	1	SRR2938141
SID010401	4300	1	SRR2938420
SID010401	4301	1	SRR2938142
SID010402	4302	1	SRR2938421
SID010402	4303	1	SRR2938143
SID010404	4304	1	SRR2938422
SID010404	4305	1	SRR2938144
SID01A_000	4306	1	SRR2938506
SID01A_000	4307	1	SRR2938221
SID01A_006	4308	1	SRR2938350
SID01A_006	4309	1	SRR2938072
SID01A_220	4310	1	SRR2938594
SID01A_220	4311	1	SRR2938309
SID01B_000	4312	1	SRR2938507
SID01B_000	4313	1	SRR2938222
SID01B_007	4314	1	SRR2938351
SID01B_007	4315	1	SRR2938073
SID01B_221	4316	1	SRR2938595
SID01B_221	4317	1	SRR2938310
SID01C_235	4318	1	SRR2938391
SID01C_235	4319	1	SRR2938113
SID01C_566	4320	1	SRR2938528
SID01C_566	4321	1	SRR2938243
SID01D_013	4322	1	SRR2938352
SID01D_013	4323	1	SRR2938074
SID01D_190	4324	1	SRR2938392
SID01D_190	4325	1	SRR2938114
SID01D_570	4326	1	SRR2938529
SID01D_570	4327	1	SRR2938244
SID01E_000	4328	1	SRR2938508
SID01E_000	4329	1	SRR2938223
SID01E_015	4330	1	SRR2938353
SID01E_015	4331	1	SRR2938075
SID01E_191	4332	1	SRR2938393
SID01E_191	4333	1	SRR2938115
SID01F_239	4334	1	SRR2938394
SID01F_239	4335	1	SRR2938116
SID01F_573	4336	1	SRR2938530
SID01F_573	4337	1	SRR2938245
SID01H_011	4338	1	SRR2938355
SID01H_011	4339	1	SRR2938077
SID01H_202	4340	1	SRR2938396
SID01H_202	4341	1	SRR2938118
SID01H_568	4342	1	SRR2938531
SID01H_568	4343	1	SRR2938246
SID01I_012	4344	1	SRR2938356
SID01I_012	4345	1	SRR2938078
SID01I_569	4346	1	SRR2938532
SID01I_569	4347	1	SRR2938247
SID020101	4348	1	SRR2938423
SID020101	4349	1	SRR2938145
SID020102	4350	1	SRR2938424
SID020102	4351	1	SRR2938146
SID020104	4352	1	SRR2938425
SID020104	4353	1	SRR2938147
SID02A_561	4354	1	SRR2938533
SID02A_561	4355	1	SRR2938248
SID030101	4356	1	SRR2938360
SID030101	4357	1	SRR2938082
SID030102	4358	1	SRR2938432
SID030102	4359	1	SRR2938154
SID030104	4360	1	SRR2938433
SID030104	4361	1	SRR2938155
SID030701	4362	1	SRR2938365
SID030701	4363	1	SRR2938087
SID030702	4364	1	SRR2938439
SID030702	4365	1	SRR2938161
SID030704	4366	1	SRR2938440
SID030704	4367	1	SRR2938162
SID03A_000	4368	1	SRR2938510
SID03A_000	4369	1	SRR2938225
SID03B_000	4370	1	SRR2938511
SID03B_000	4371	1	SRR2938226
SID03C_000	4372	1	SRR2938512
SID03C_000	4373	1	SRR2938227
SID03E_000	4374	1	SRR2938514
SID03E_000	4375	1	SRR2938229
SID03F_000	4376	1	SRR2938515
SID03F_000	4377	1	SRR2938230
SID040101	4378	1	SRR2938366
SID040101	4379	1	SRR2938088
SID040104	4380	1	SRR2938347
SID040104	4381	1	SRR2938069
SID040201	4382	1	SRR2938367
SID040201	4383	1	SRR2938089
SID040202	4384	1	SRR2938368
SID040202	4385	1	SRR2938090
SID040203	4386	1	SRR2938369
SID040203	4387	1	SRR2938091
SID040204	4388	1	SRR2938348
SID040204	4389	1	SRR2938070
SID040301	4390	1	SRR2938370
SID040301	4391	1	SRR2938092
SID040303	4392	1	SRR2938371
SID040303	4393	1	SRR2938093
SID040304	4394	1	SRR2938349
SID040304	4395	1	SRR2938071
SID04D_562	4396	1	SRR2938538
SID04D_562	4397	1	SRR2938253
SID04E_563	4398	1	SRR2938539
SID04E_563	4399	1	SRR2938254
SID05A_000	4400	1	SRR2938518
SID05A_000	4401	1	SRR2938233
SID05B_000	4402	1	SRR2938519
SID05B_000	4403	1	SRR2938234
SID05D_000	4404	1	SRR2938521
SID05D_000	4405	1	SRR2938236
SID060101	4406	1	SRR2938372
SID060101	4407	1	SRR2938094
SID060102	4408	1	SRR2938373
SID060102	4409	1	SRR2938095
SID060201	4410	1	SRR2938441
SID060201	4411	1	SRR2938163
SID060202	4412	1	SRR2938337
SID060202	4413	1	SRR2938059
SID07A_558	4414	1	SRR2938540
SID07A_558	4415	1	SRR2938255
SID07C_541	4416	1	SRR2938541
SID07C_541	4417	1	SRR2938256
SID080101	4418	1	SRR2938444
SID080101	4419	1	SRR2938166
SID080102	4420	1	SRR2938445
SID080102	4421	1	SRR2938167
SID080104	4422	1	SRR2938446
SID080104	4423	1	SRR2938168
SID08A_000	4424	1	SRR2938523
SID08A_000	4425	1	SRR2938238
SID08A_022	4426	1	SRR2938378
SID08A_022	4427	1	SRR2938100
SID08A_236	4428	1	SRR2938398
SID08A_236	4429	1	SRR2938120
SID08B_044	4430	1	SRR2938379
SID08B_044	4431	1	SRR2938101
SID08C_021	4432	1	SRR2938380
SID08C_021	4433	1	SRR2938102
SID08D_079	4434	1	SRR2938381
SID08D_079	4435	1	SRR2938103
SID08D_257	4436	1	SRR2938399
SID08D_257	4437	1	SRR2938121
SID08D_572	4438	1	SRR2938544
SID08D_572	4439	1	SRR2938259
SID08I_009	4440	1	SRR2938386
SID08I_009	4441	1	SRR2938108
SID08I_170	4442	1	SRR2938401
SID08I_170	4443	1	SRR2938123
SID08I_545	4444	1	SRR2938545
SID08I_545	4445	1	SRR2938260
SID08J_078	4446	1	SRR2938387
SID08J_078	4447	1	SRR2938109
SID090101	4448	1	SRR2938450
SID090101	4449	1	SRR2938172
SID090102	4450	1	SRR2938451
SID090102	4451	1	SRR2938173
SID090201	4452	1	SRR2938452
SID090201	4453	1	SRR2938174
SID09A_515	4454	1	SRR2938547
SID09A_515	4455	1	SRR2938262
SID09B_516	4456	1	SRR2938548
SID09B_516	4457	1	SRR2938263
SID100201	4458	1	SRR2938453
SID100201	4459	1	SRR2938175
SID100202	4460	1	SRR2938454
SID100202	4461	1	SRR2938176
SID100204	4462	1	SRR2938455
SID100204	4463	1	SRR2938177
SID140201	4485	1	SRR2938465
SID140201	4486	1	SRR2938187
SID140202	4487	1	SRR2938466
SID140202	4488	1	SRR2938188
