Sample	Run	Lane	Remote
C16-20002-TZ	185	1	SRR8803178
C16-20003-TZ	186	1	SRR8803179
C16-20005-TZ	188	1	SRR8803176
C16-20070-TZ	198	1	SRR8803177
C16-20071-TZ	199	1	SRR8803182
C16-20117-TZ	201	1	SRR8803181
C16-20118-TZ	202	1	SRR8803185
C16-20152-TZ	205	1	SRR8803188
C16-20153-TZ	206	1	SRR8803189
C16-20197-TZ	207	1	SRR8803194
C16-20211-TZ	208	1	SRR8803192
C16-20212-TZ	209	1	SRR8803193
C16-20215-TZ	210	1	SRR8803198
C16-20237-TZ	211	1	SRR8803199
C16-20238-TZ	212	1	SRR8803225
C16-20246-TZ	215	1	SRR8803224
C16-20248-TZ	216	1	SRR8803222
C16-20340-TZ	221	1	SRR8803229
C16-20345-TZ	222	1	SRR8803227
C16-20346-TZ	223	1	SRR8803226
C16-20371-TZ	226	1	SRR8803218
C16-20415-TZ	229	1	SRR8803187
C16-20416-TZ	230	1	SRR8803234
C16-20437-TZ	231	1	SRR8803239
C16-20438-TZ	232	1	SRR8803240
C16-20470-TZ	233	1	SRR8803207
C16-20471-TZ	234	1	SRR8803213
C16-20473-TZ	235	1	SRR8803209
C16-20491-TZ	236	1	SRR8803206
C16-20554-TZ	237	1	SRR8803214
C16-20558-TZ	238	1	SRR8803196
C16-20625-TZ	239	1	SRR8803197
C16-20626-TZ	240	1	SRR8803215
C16-20627-TZ	241	1	SRR8803216
C16-20645-TZ	242	1	SRR8803237
C16-20646-TZ	243	1	SRR8803236
