Sample	Run	Lane	Remote
C16-20005-GH	187	1	SRR8791405
C16-20006-GH	189	1	SRR8791404
C16-20009-GH	190	1	SRR8791401
C16-20010-GH	191	1	SRR8791400
C16-20029-GH	192	1	SRR8791398
C16-20030-GH	193	1	SRR8791407
C16-20047-GH	194	1	SRR8791371
C16-20048-GH	195	1	SRR8791370
C16-20065-GH	196	1	SRR8791367
C16-20066-GH	197	1	SRR8791366
C16-20108-GH	200	1	SRR8791365
C16-20124-GH	203	1	SRR8791391
C16-20125-GH	204	1	SRR8791392
C16-20241-GH	213	1	SRR8791396
C16-20242-GH	214	1	SRR8791397
C16-20273-GH	217	1	SRR8791376
C16-20274-GH	218	1	SRR8791375
C16-20288-GH	219	1	SRR8791383
C16-20292-GH	220	1	SRR8791382
C16-20362-GH	224	1	SRR8791386
C16-20363-GH	225	1	SRR8791387
C16-20374-GH	227	1	SRR8791384
C16-20375-GH	228	1	SRR8791385
