Sample	Run	Lane	Remote
CM_A01_M0_18	268	1	SRR8784374
CM_A04_M0_18	269	1	SRR8784364
CM_A06_M0_18	270	1	SRR8784387
CM_D02_M0_18	271	1	SRR8784391
CM_D03_M0_18	272	1	SRR8784390
CM_D04_M0_18	273	1	SRR8784370
CM_D05_M0_18	274	1	SRR8784383
CM_D06_M0_18	275	1	SRR8784378
CM_D07_M0_18	276	1	SRR8180448
CM_D08_M0_18	277	1	SRR8784368
CM_D09_M0_18	278	1	SRR8784381
CM_D10_M0_18	279	1	SRR8180450
CM_D11_M0_18	280	1	SRR8180449
CM_D13_M0_18	281	1	SRR8784356
CM_D15_M0_18	282	1	SRR8784395
CM_D21_M0_18	283	1	SRR8784379
CM_D24_M0_18	284	1	SRR8180447
CM_D26_M0_18	285	1	SRR8784360
CM_D33_M0_18	286	1	SRR8784377
CM_D39_M0_18	287	1	SRR8784353
CM_D40_M0_18	288	1	SRR8784362
CM_D43_M0_18	289	1	SRR8784384
CM_D48_M0_18	290	1	SRR8784358
CM_D50_M0_18	291	1	SRR8180446
