Sample	Run	Lane	Remote
SRR3992955	5011	1	SRR3992955
SRR3992956	5012	1	SRR3992956
SRR3992957	5013	1	SRR3992957
SRR3992958	5014	1	SRR3992958
SRR3992959	5015	1	SRR3992959
SRR3992960	5016	1	SRR3992960
SRR3992961	5017	1	SRR3992961
SRR3992962	5018	1	SRR3992962
SRR3992963	5019	1	SRR3992963
SRR3992964	5020	1	SRR3992964
SRR3992965	5021	1	SRR3992965
SRR3992966	5022	1	SRR3992966
SRR3992967	5023	1	SRR3992967
SRR3992968	5024	1	SRR3992968
SRR3992969	5025	1	SRR3992969
SRR3992970	5026	1	SRR3992970
SRR3992971	5027	1	SRR3992971
SRR3992972	5028	1	SRR3992972
SRR3992973	5029	1	SRR3992973
SRR3992974	5030	1	SRR3992974
SRR3992975	5031	1	SRR3992975
SRR3992976	5032	1	SRR3992976
SRR3992977	5033	1	SRR3992977
SRR3992978	5034	1	SRR3992978
SRR3992979	5035	1	SRR3992979
SRR3992980	5036	1	SRR3992980
SRR3992981	5037	1	SRR3992981
SRR3992982	5038	1	SRR3992982
SRR3992983	5039	1	SRR3992983
SRR3992984	5040	1	SRR3992984
SRR3992985	5041	1	SRR3992985
SRR3992986	5042	1	SRR3992986
SRR3992987	5043	1	SRR3992987
SRR3992988	5044	1	SRR3992988
SRR3992989	5045	1	SRR3992989
SRR3992990	5046	1	SRR3992990
SRR3992991	5047	1	SRR3992991
SRR3992992	5048	1	SRR3992992
SRR3992993	5049	1	SRR3992993
SRR3992994	5050	1	SRR3992994
SRR3992995	5051	1	SRR3992995
SRR3992996	5052	1	SRR3992996
SRR3992997	5053	1	SRR3992997
SRR3992998	5054	1	SRR3992998
SRR3992999	5055	1	SRR3992999
SRR3993000	5056	1	SRR3993000
SRR3993001	5057	1	SRR3993001
SRR3993002	5058	1	SRR3993002
SRR3993003	5059	1	SRR3993003
SRR3993004	5060	1	SRR3993004
SRR3993005	5061	1	SRR3993005
SRR3993006	5062	1	SRR3993006
SRR3993007	5063	1	SRR3993007
SRR3993008	5064	1	SRR3993008
SRR3993009	5065	1	SRR3993009
SRR3993010	5066	1	SRR3993010
SRR3993011	5067	1	SRR3993011
SRR3993012	5068	1	SRR3993012
SRR3993013	5069	1	SRR3993013
SRR3993014	5070	1	SRR3993014
SRR3993015	5071	1	SRR3993015
SRR3993016	5072	1	SRR3993016
SRR3993017	5073	1	SRR3993017
SRR3993018	5074	1	SRR3993018
SRR3993019	5075	1	SRR3993019
SRR3993020	5076	1	SRR3993020
SRR3993021	5077	1	SRR3993021
SRR3993022	5078	1	SRR3993022
SRR3993023	5079	1	SRR3993023
SRR3993024	5080	1	SRR3993024
SRR3993025	5081	1	SRR3993025
SRR3993026	5082	1	SRR3993026
SRR3993027	5083	1	SRR3993027
SRR3993028	5084	1	SRR3993028
SRR3993029	5085	1	SRR3993029
SRR3993030	5086	1	SRR3993030
SRR3993031	5087	1	SRR3993031
SRR3993032	5088	1	SRR3993032
SRR3993033	5089	1	SRR3993033
SRR3993034	5090	1	SRR3993034
SRR3993035	5091	1	SRR3993035
SRR3993036	5092	1	SRR3993036
SRR3993037	5093	1	SRR3993037
SRR3993038	5094	1	SRR3993038
SRR3993039	5095	1	SRR3993039
SRR3993040	5096	1	SRR3993040
SRR3993041	5097	1	SRR3993041
SRR3993042	5098	1	SRR3993042
SRR3993043	5099	1	SRR3993043
SRR3993044	5100	1	SRR3993044
SRR3993045	5101	1	SRR3993045
SRR3993046	5102	1	SRR3993046
SRR3993047	5103	1	SRR3993047
SRR3993048	5104	1	SRR3993048
SRR3993049	5105	1	SRR3993049
SRR3993050	5106	1	SRR3993050
SRR3993051	5107	1	SRR3993051
SRR3993052	5108	1	SRR3993052
SRR3993053	5109	1	SRR3993053
SRR3993054	5110	1	SRR3993054
SRR3993055	5111	1	SRR3993055
SRR3993056	5112	1	SRR3993056
SRR3993057	5113	1	SRR3993057
SRR3993058	5114	1	SRR3993058
SRR3993059	5115	1	SRR3993059
SRR3993060	5116	1	SRR3993060
SRR3993061	5117	1	SRR3993061
SRR3993062	5118	1	SRR3993062
SRR3993063	5119	1	SRR3993063
SRR3993064	5120	1	SRR3993064
