Sample	Run	Lane	Remote
S112	3726	1	ERR260249
S118	3727	1	ERR260250
S121	3728	1	ERR260251
S126	3729	1	ERR260252
S127	3730	1	ERR260253
S131	3731	1	ERR260254
S137	3732	1	ERR260268
S141	3733	1	ERR260255
S143	3734	1	ERR260256
S144	3735	1	ERR260257
S146	3736	1	ERR260258
S153	3737	1	ERR260259
S155	3738	1	ERR260260
S158	3739	1	ERR260261
S186	3740	1	ERR260262
S187	3741	1	ERR260263
S193	3742	1	ERR260264
S194	3743	1	ERR260265
S195	3744	1	ERR260266
S198	3745	1	ERR260267
S200	3746	1	ERR260228
S205	3747	1	ERR260229
S224	3748	1	ERR260230
S225	3749	1	ERR260231
S227	3750	1	ERR260232
S229	3751	1	ERR260233
S231	3752	1	ERR260234
S235	3753	1	ERR260235
S239	3754	1	ERR260236
S243	3755	1	ERR260237
S244	3756	1	ERR260238
S248	3757	1	ERR260239
S249	3758	1	ERR260269
S258	3759	1	ERR260240
S263	3760	1	ERR260241
S264	3761	1	ERR260242
S268	3762	1	ERR260243
S269	3763	1	ERR260244
S278	3764	1	ERR260245
S286	3765	1	ERR260270
S288	3766	1	ERR260246
S290	3767	1	ERR260247
S297	3768	1	ERR260271
S299	3769	1	ERR260248
S304	3770	1	ERR260132
S305	3771	1	ERR260133
S312	3772	1	ERR260134
S317	3773	1	ERR260135
S327	3774	1	ERR260136
S330	3775	1	ERR260137
S332	3776	1	ERR260138
S334	3777	1	ERR260139
S342	3778	1	ERR260272
S344	3779	1	ERR260140
S347	3780	1	ERR260141
S349	3781	1	ERR260142
S350	3782	1	ERR260143
S353	3783	1	ERR260144
S354	3784	1	ERR260145
S356	3785	1	ERR260146
S365	3786	1	ERR260147
S367	3787	1	ERR260148
S370	3788	1	ERR260149
S372	3789	1	ERR260150
S378	3790	1	ERR260151
S380	3791	1	ERR260152
S381	3792	1	ERR260153
S384	3793	1	ERR260154
S389	3794	1	ERR260155
S393	3795	1	ERR260156
S395	3796	1	ERR260157
S397	3797	1	ERR260158
S398	3798	1	ERR260159
S420	3799	1	ERR260160
S421	3800	1	ERR260161
S422	3801	1	ERR260162
S424	3802	1	ERR260163
S432	3803	1	ERR260164
S434	3804	1	ERR260165
S436	3805	1	ERR260166
S439	3806	1	ERR260167
S441	3807	1	ERR260168
S446	3808	1	ERR260169
S451	3809	1	ERR260170
S456	3810	1	ERR260171
S457	3811	1	ERR260172
S458	3812	1	ERR260173
S462	3813	1	ERR260174
S463	3814	1	ERR260175
S468	3815	1	ERR260176
S470	3816	1	ERR260273
S472	3817	1	ERR260177
S475	3818	1	ERR260274
S476	3819	1	ERR260178
S478	3820	1	ERR260179
S479	3821	1	ERR260180
S483	3822	1	ERR260181
S484	3823	1	ERR260182
S485	3824	1	ERR260275
S487	3825	1	ERR260183
S488	3826	1	ERR260184
S495	3827	1	ERR260185
S497	3828	1	ERR260186
S51	3829	1	ERR260187
S517	3830	1	ERR260188
S524	3831	1	ERR260189
S526	3832	1	ERR260190
S529	3833	1	ERR260191
S53	3834	1	ERR260193
S530	3835	1	ERR260192
S536	3836	1	ERR260194
S54	3837	1	ERR260195
S543	3838	1	ERR260196
S547	3839	1	ERR260197
S550	3840	1	ERR260276
S551	3841	1	ERR260198
S552	3842	1	ERR260199
S558	3843	1	ERR260200
S561	3844	1	ERR260201
S563	3845	1	ERR260202
S577	3846	1	ERR260203
S58	3847	1	ERR260204
S584	3848	1	ERR260205
S587	3849	1	ERR260206
S589	3850	1	ERR260207
S59	3851	1	ERR260209
S591	3852	1	ERR260208
S598	3853	1	ERR260210
S60	3854	1	ERR275251
S60	3855	1	ERR260212
S600	3856	1	ERR260211
S602	3857	1	ERR275252
S602	3858	1	ERR260213
S604	3859	1	ERR260214
S614	3860	1	ERR260215
S617	3861	1	ERR260216
S618	3862	1	ERR260217
S628	3863	1	ERR260218
S638	3864	1	ERR260219
S640	3865	1	ERR260220
S643	3866	1	ERR260221
S646	3867	1	ERR260222
S655	3868	1	ERR260223
S77	3869	1	ERR260224
S80	3870	1	ERR260225
S88	3871	1	ERR260226
S92	3872	1	ERR260227
