Sample	Run	Lane	Remote
SAMEA104142075	3912	1	ERR2017568
SAMEA104142076	3913	1	ERR2017564
SAMEA104142078	3914	1	ERR2017531
SAMEA104142079	3915	1	ERR2017742
SAMEA104142080	3916	1	ERR2017741
SAMEA104142081	3917	1	ERR2017740
SAMEA104142082	3918	1	ERR2017739
SAMEA104142083	3919	1	ERR2017738
SAMEA104142084	3920	1	ERR2017737
SAMEA104142085	3921	1	ERR2017736
SAMEA104142086	3922	1	ERR2017689
SAMEA104142087	3923	1	ERR2017597
SAMEA104142088	3924	1	ERR2017596
SAMEA104142089	3925	1	ERR2017595
SAMEA104142090	3926	1	ERR2017750
SAMEA104142091	3927	1	ERR2017749
SAMEA104142092	3928	1	ERR2017748
SAMEA104142093	3929	1	ERR2017747
SAMEA104142094	3930	1	ERR2017746
SAMEA104142095	3931	1	ERR2017745
SAMEA104142096	3932	1	ERR2017744
SAMEA104142097	3933	1	ERR2017594
SAMEA104142098	3934	1	ERR2017593
SAMEA104142099	3935	1	ERR2017592
SAMEA104142100	3936	1	ERR2017588
SAMEA104142102	3937	1	ERR2017584
SAMEA104142103	3938	1	ERR2017591
SAMEA104142104	3939	1	ERR2017590
SAMEA104142105	3940	1	ERR2017589
SAMEA104142106	3941	1	ERR2017587
SAMEA104142107	3942	1	ERR2017586
SAMEA104142110	3943	1	ERR2017581
SAMEA104142111	3944	1	ERR2017577
SAMEA104142113	3945	1	ERR2017575
SAMEA104142114	3946	1	ERR2017574
SAMEA104142115	3947	1	ERR2017573
SAMEA104142116	3948	1	ERR2017572
SAMEA104142117	3949	1	ERR2017571
SAMEA104142118	3950	1	ERR2017570
SAMEA104142119	3951	1	ERR2017569
SAMEA104142120	3952	1	ERR2017567
SAMEA104142121	3953	1	ERR2017566
SAMEA104142122	3954	1	ERR2017565
SAMEA104142123	3955	1	ERR2017563
SAMEA104142124	3956	1	ERR2017562
SAMEA104142125	3957	1	ERR2017561
SAMEA104142126	3958	1	ERR2017560
SAMEA104142127	3959	1	ERR2017559
SAMEA104142128	3960	1	ERR2017558
SAMEA104142129	3961	1	ERR2017557
SAMEA104142130	3962	1	ERR2017556
SAMEA104142131	3963	1	ERR2017555
SAMEA104142132	3964	1	ERR2017554
SAMEA104142133	3965	1	ERR2017553
SAMEA104142134	3966	1	ERR2017552
SAMEA104142135	3967	1	ERR2017551
SAMEA104142136	3968	1	ERR2017550
SAMEA104142137	3969	1	ERR2017549
SAMEA104142138	3970	1	ERR2017548
SAMEA104142139	3971	1	ERR2017547
SAMEA104142140	3972	1	ERR2017546
SAMEA104142141	3973	1	ERR2017545
SAMEA104142142	3974	1	ERR2017544
SAMEA104142143	3975	1	ERR2017543
SAMEA104142144	3976	1	ERR2017542
SAMEA104142145	3977	1	ERR2017541
SAMEA104142146	3978	1	ERR2017540
SAMEA104142149	3979	1	ERR2017537
SAMEA104142150	3980	1	ERR2017536
SAMEA104142151	3981	1	ERR2017535
SAMEA104142152	3982	1	ERR2017534
SAMEA104142153	3983	1	ERR2017533
SAMEA104142154	3984	1	ERR2017735
SAMEA104142155	3985	1	ERR2017734
SAMEA104142156	3986	1	ERR2017733
SAMEA104142157	3987	1	ERR2017732
SAMEA104142158	3988	1	ERR2017731
SAMEA104142159	3989	1	ERR2017730
SAMEA104142160	3990	1	ERR2017729
SAMEA104142161	3991	1	ERR2017728
SAMEA104142162	3992	1	ERR2017727
SAMEA104142163	3993	1	ERR2017726
SAMEA104142164	3994	1	ERR2017725
SAMEA104142165	3995	1	ERR2017724
SAMEA104142166	3996	1	ERR2017723
SAMEA104142167	3997	1	ERR2017722
SAMEA104142168	3998	1	ERR2017721
SAMEA104142169	3999	1	ERR2017720
SAMEA104142170	4000	1	ERR2017719
SAMEA104142171	4001	1	ERR2017718
SAMEA104142172	4002	1	ERR2017717
SAMEA104142173	4003	1	ERR2017716
SAMEA104142174	4004	1	ERR2017714
SAMEA104142175	4005	1	ERR2017713
SAMEA104142176	4006	1	ERR2017712
SAMEA104142177	4007	1	ERR2017711
SAMEA104142178	4008	1	ERR2017710
SAMEA104142179	4009	1	ERR2017709
SAMEA104142180	4010	1	ERR2017708
SAMEA104142181	4011	1	ERR2017707
SAMEA104142182	4012	1	ERR2017706
SAMEA104142183	4013	1	ERR2017705
SAMEA104142184	4014	1	ERR2017704
SAMEA104142185	4015	1	ERR2017703
SAMEA104142186	4016	1	ERR2017702
SAMEA104142187	4017	1	ERR2017701
SAMEA104142188	4018	1	ERR2017700
SAMEA104142189	4019	1	ERR2017699
SAMEA104142190	4020	1	ERR2017698
SAMEA104142191	4021	1	ERR2017697
SAMEA104142192	4022	1	ERR2017696
SAMEA104142193	4023	1	ERR2017695
SAMEA104142194	4024	1	ERR2017694
SAMEA104142195	4025	1	ERR2017693
SAMEA104142196	4026	1	ERR2017692
SAMEA104142197	4027	1	ERR2017691
SAMEA104142198	4028	1	ERR2017690
SAMEA104142199	4029	1	ERR2017688
SAMEA104142200	4030	1	ERR2017687
SAMEA104142201	4031	1	ERR2017686
SAMEA104142202	4032	1	ERR2017685
SAMEA104142203	4033	1	ERR2017684
SAMEA104142204	4034	1	ERR2017683
SAMEA104142205	4035	1	ERR2017682
SAMEA104142206	4036	1	ERR2017681
SAMEA104142207	4037	1	ERR2017680
SAMEA104142208	4038	1	ERR2017679
SAMEA104142209	4039	1	ERR2017678
SAMEA104142210	4040	1	ERR2017530
SAMEA104142211	4041	1	ERR2017529
SAMEA104142212	4042	1	ERR2017527
SAMEA104142213	4043	1	ERR2017525
SAMEA104142214	4044	1	ERR2017523
SAMEA104142215	4045	1	ERR2017522
SAMEA104142216	4046	1	ERR2017519
SAMEA104142217	4047	1	ERR2017521
SAMEA104142218	4048	1	ERR2017528
SAMEA104142219	4049	1	ERR2017526
SAMEA104142220	4050	1	ERR2017524
