Sample	Run	Lane	Remote
G88690	400	1	SRR5128731
G88690	401	1	SRR5127642
G88691	402	1	SRR5128742
G88691	403	1	SRR5127802
G88692	404	1	SRR5128831
G88692	405	1	SRR5127486
G88693	406	1	SRR5128919
G88693	407	1	SRR5127665
G88700	408	1	SRR5128404
G88700	409	1	SRR5127537
G88701	410	1	SRR5128714
G88701	411	1	SRR5127838
G88703	412	1	SRR5128783
G88703	413	1	SRR5127861
G88704	414	1	SRR5128826
G88704	415	1	SRR5127828
G88705	416	1	SRR5128399
G88705	417	1	SRR5127615
G88710	418	1	SRR5128426
G88710	419	1	SRR5127770
G88711	420	1	SRR5128428
G88711	421	1	SRR5127416
G88712	422	1	SRR5128395
G88712	423	1	SRR5127723
G88713	424	1	SRR5128830
G88713	425	1	SRR5127808
G88718	426	1	SRR5128923
G88718	427	1	SRR5127529
G88720	428	1	SRR5128476
G88720	429	1	SRR5127777
G88721	430	1	SRR5128769
G88721	431	1	SRR5127493
G88722	432	1	SRR5128772
G88722	433	1	SRR5127536
G88723	434	1	SRR5128936
G88723	435	1	SRR5127431
G88724	436	1	SRR5128418
G88724	437	1	SRR5127847
G88725	438	1	SRR5127540
G88726	439	1	SRR5128809
G88726	440	1	SRR5127789
G88728	441	1	SRR5128929
G88728	442	1	SRR5127510
G88729	443	1	SRR5128880
G88729	444	1	SRR5127606
G88731	445	1	SRR5128663
G88731	446	1	SRR5127458
G88732	447	1	SRR5128943
G88732	448	1	SRR5127504
G88734	449	1	SRR5128781
G88734	450	1	SRR5127862
G88736	451	1	SRR5128423
G88736	452	1	SRR5127813
G88737	453	1	SRR5128947
G88737	454	1	SRR5127690
G88738	455	1	SRR5128741
G88738	456	1	SRR5127714
G88740	457	1	SRR5128866
G88740	458	1	SRR5127481
G88746	459	1	SRR5127784
G88748	460	1	SRR5128804
G88748	461	1	SRR5127663
G88749	462	1	SRR5127771
G88751	463	1	SRR5127548
G88755	464	1	SRR5128388
G88755	465	1	SRR5127637
G88757	466	1	SRR5128682
G88757	467	1	SRR5127731
G88759	468	1	SRR5128448
G88759	469	1	SRR5127600
G88760	470	1	SRR5127759
G88761	471	1	SRR5128680
G88761	472	1	SRR5127494
G88762	473	1	SRR5128928
G88762	474	1	SRR5127459
G88763	475	1	SRR5128876
G88763	476	1	SRR5127803
G88764	477	1	SRR5128409
G88764	478	1	SRR5127857
G88765	479	1	SRR5127614
G88766	480	1	SRR5128906
G88766	481	1	SRR5127755
G88767	482	1	SRR5128464
G88767	483	1	SRR5127856
G88768	484	1	SRR5128425
G88768	485	1	SRR5127491
G88769	486	1	SRR5128856
G88769	487	1	SRR5127565
G88770	488	1	SRR5128619
G88770	489	1	SRR5127786
G88771	490	1	SRR5128931
G88771	491	1	SRR5127576
G88772	492	1	SRR5128739
G88772	493	1	SRR5127476
G88773	494	1	SRR5128786
G88773	495	1	SRR5127798
G88774	496	1	SRR5127394
G88776	497	1	SRR5128749
G88776	498	1	SRR5127556
G88778	499	1	SRR5127609
G88779	500	1	SRR5128674
G88779	501	1	SRR5127674
G88780	502	1	SRR5127589
G88781	503	1	SRR5128813
G88781	504	1	SRR5127671
G88782	505	1	SRR5128726
G88782	506	1	SRR5127531
G88783	507	1	SRR5128669
G88783	508	1	SRR5127515
G88784	509	1	SRR5128822
G88784	510	1	SRR5127788
G88785	511	1	SRR5128764
G88785	512	1	SRR5127715
G88786	513	1	SRR5128757
G88786	514	1	SRR5127804
G88787	515	1	SRR5128747
G88787	516	1	SRR5127521
G88788	517	1	SRR5128460
G88788	518	1	SRR5127842
G88789	519	1	SRR5128752
G88789	520	1	SRR5127523
G88790	521	1	SRR5128811
G88790	522	1	SRR5127437
G88791	523	1	SRR5128887
G88791	524	1	SRR5127829
G88792	525	1	SRR5128667
G88792	526	1	SRR5127794
G88793	527	1	SRR5128902
G88793	528	1	SRR5127775
G88794	529	1	SRR5128802
G88794	530	1	SRR5127776
G88795	531	1	SRR5127703
G88796	532	1	SRR5127567
G88797	533	1	SRR5127774
G88798	534	1	SRR5128705
G88798	535	1	SRR5127724
G88801	536	1	SRR5128735
G88801	537	1	SRR5127608
G88802	538	1	SRR5128801
G88802	539	1	SRR5127765
G88804	540	1	SRR5128421
G88804	541	1	SRR5127561
G88806	542	1	SRR5128375
G88806	543	1	SRR5127593
G88808	544	1	SRR5128379
G88808	545	1	SRR5127461
G88810	546	1	SRR5128702
G88810	547	1	SRR5127749
G88811	548	1	SRR5128868
G88811	549	1	SRR5127778
G88812	550	1	SRR5128417
G88812	551	1	SRR5127809
G88813	552	1	SRR5128398
G88813	553	1	SRR5127817
G88814	554	1	SRR5128461
G88814	555	1	SRR5127554
G88816	556	1	SRR5127860
G88819	557	1	SRR5128708
G88819	558	1	SRR5127705
G88820	559	1	SRR5128462
G88820	560	1	SRR5127816
G88821	561	1	SRR5128775
G88821	562	1	SRR5127643
G88823	563	1	SRR5128829
G88823	564	1	SRR5127426
G88825	565	1	SRR5128935
G88825	566	1	SRR5127402
G88826	567	1	SRR5128850
G88826	568	1	SRR5127688
G88828	569	1	SRR5128805
G88828	570	1	SRR5127514
G88830	571	1	SRR5128941
G88830	572	1	SRR5127658
G88831	573	1	SRR5128870
G88831	574	1	SRR5127851
G88834	575	1	SRR5128888
G88834	576	1	SRR5127602
G88835	577	1	SRR5128776
G88835	578	1	SRR5127607
G88836	579	1	SRR5128905
G88836	580	1	SRR5127733
G88837	581	1	SRR5128387
G88837	582	1	SRR5127717
G88838	583	1	SRR5128944
G88838	584	1	SRR5127482
G88839	585	1	SRR5128471
G88839	586	1	SRR5127549
G88840	587	1	SRR5128916
G88840	588	1	SRR5127846
G88842	589	1	SRR5128825
G88842	590	1	SRR5127837
G88844	591	1	SRR5128903
G88844	592	1	SRR5127611
G88845	593	1	SRR5127446
G88846	594	1	SRR5128740
G88846	595	1	SRR5127495
G88847	596	1	SRR5128685
G88847	597	1	SRR5127618
G88848	598	1	SRR5128451
G88848	599	1	SRR5127630
G88849	600	1	SRR5128697
G88849	601	1	SRR5127603
G88851	602	1	SRR5128474
G88851	603	1	SRR5127696
G88852	604	1	SRR5128907
G88852	605	1	SRR5127735
G88853	606	1	SRR5128402
G88853	607	1	SRR5127412
G88854	608	1	SRR5128442
G88854	609	1	SRR5127700
G88855	610	1	SRR5128846
G88855	611	1	SRR5127730
