Sample	Run	Lane	Remote
SID31009	4541	1	ERR688506
SID31009	4542	1	ERR688359
SID31021	4543	1	ERR688507
SID31021	4544	1	ERR688360
SID31071	4545	1	ERR688509
SID31071	4546	1	ERR688362
SID31112	4547	1	ERR688510
SID31112	4548	1	ERR688363
SID31129	4549	1	ERR688511
SID31129	4550	1	ERR688364
SID31219	4551	1	ERR688516
SID31219	4552	1	ERR688369
SID31236	4553	1	ERR688520
SID31236	4554	1	ERR688373
SID31300	4555	1	ERR688528
SID31300	4556	1	ERR688381
SID31328	4557	1	ERR688529
SID31328	4558	1	ERR688382
SID31333	4559	1	ERR688530
SID31333	4560	1	ERR688383
SID31343	4561	1	ERR688532
SID31343	4562	1	ERR688385
SID31360	4563	1	ERR688533
SID31360	4564	1	ERR688386
SID31379	4565	1	ERR688535
SID31379	4566	1	ERR688388
SID31416	4567	1	ERR688537
SID31416	4568	1	ERR688390
SID31428	4569	1	ERR688539
SID31428	4570	1	ERR688392
SID31450	4571	1	ERR688543
SID31450	4572	1	ERR688396
SID31519	4573	1	ERR688551
SID31519	4574	1	ERR688404
SID31637	4575	1	ERR688557
SID31637	4576	1	ERR688410
SID31700	4577	1	ERR688559
SID31700	4578	1	ERR688412
SID31711	4579	1	ERR688561
SID31711	4580	1	ERR688414
SID31714	4581	1	ERR688562
SID31714	4582	1	ERR688415
SID31723	4583	1	ERR688563
SID31723	4584	1	ERR688416
SID31749	4585	1	ERR688564
SID31749	4586	1	ERR688417
SID31766	4587	1	ERR688566
SID31766	4588	1	ERR688419
SID530050	4595	1	ERR688590
SID530050	4596	1	ERR688443
SID530052	4597	1	ERR688591
SID530052	4598	1	ERR688444
SID530055	4599	1	ERR688593
SID530055	4600	1	ERR688446
SID530074	4601	1	ERR688594
SID530074	4602	1	ERR688447
SID530075	4603	1	ERR688595
SID530075	4604	1	ERR688448
SID530119	4605	1	ERR688596
SID530119	4606	1	ERR688449
SID530154	4607	1	ERR688598
SID530154	4608	1	ERR688451
SID530163	4609	1	ERR688599
SID530163	4610	1	ERR688452
SID530177	4611	1	ERR688603
SID530177	4612	1	ERR688456
SID530215	4613	1	ERR688605
SID530215	4614	1	ERR688458
SID530227	4615	1	ERR688606
SID530227	4616	1	ERR688459
SID530251	4617	1	ERR688607
SID530251	4618	1	ERR688460
SID530258	4619	1	ERR688608
SID530258	4620	1	ERR688461
SID530315	4621	1	ERR688612
SID530315	4622	1	ERR688465
SID530364	4623	1	ERR688616
SID530364	4624	1	ERR688469
SID530368	4625	1	ERR688617
SID530368	4626	1	ERR688470
SID530394	4627	1	ERR688619
SID530394	4628	1	ERR688472
SID530444	4629	1	ERR688622
SID530444	4630	1	ERR688475
SID530451	4631	1	ERR688624
SID530451	4632	1	ERR688477
SID531414	4633	1	ERR688646
SID531414	4634	1	ERR688499
SID531424	4635	1	ERR688648
SID531424	4636	1	ERR688501
SID532749	4637	1	ERR710426
SID532749	4638	1	ERR710417
SID532779	4639	1	ERR710427
SID532779	4640	1	ERR710418
SID532796	4641	1	ERR710428
SID532796	4642	1	ERR710419
SID532802	4643	1	ERR710429
SID532802	4644	1	ERR710420
SID532826	4645	1	ERR710430
SID532826	4646	1	ERR710421
SID532915	4647	1	ERR710432
SID532915	4648	1	ERR710423
