Sample	Run	Lane	Remote
SID5411-1	4658	1	SRR7989829
SID5411-2	4659	1	SRR7989830
SID5411-3	4660	1	SRR7989965
SID5411-4	4661	1	SRR7989967
SID5412-1	4662	1	SRR7989941
SID5412-2	4663	1	SRR7989915
SID5412-3	4664	1	SRR7989952
SID5412-4	4665	1	SRR7989955
SID5413-1	4666	1	SRR7989979
SID5413-2	4667	1	SRR7989981
SID5413-3	4668	1	SRR7989917
SID5413-4	4669	1	SRR7989918
SID5414-1	4670	1	SRR7989919
SID5414-2	4671	1	SRR7989920
SID5414-3	4672	1	SRR7989921
SID5414-4	4673	1	SRR7989922
SID5415-1	4674	1	SRR7989923
SID5415-2	4675	1	SRR7989924
SID5415-3	4676	1	SRR7989925
SID5415-4	4677	1	SRR7989926
SID5416-1	4678	1	SRR7989961
SID5416-2	4679	1	SRR7989966
SID5417-1	4680	1	SRR7989963
SID5417-2	4681	1	SRR7989962
SID5417-3	4682	1	SRR7989957
SID5417-4	4683	1	SRR7989956
SID5418-1	4684	1	SRR8097418
SID5419-1	4685	1	SRR8097417
SID5420-1	4686	1	SRR8097416
SID5420-2	4687	1	SRR8097415
SID5420-3	4688	1	SRR8097422
SID5420-4	4689	1	SRR8097421
SID5421-1	4690	1	SRR7989959
SID5421-2	4691	1	SRR7989958
SID5421-3	4692	1	SRR7989954
SID5421-4	4693	1	SRR7989953
SID5423-1	4694	1	SRR7989990
SID5423-2	4695	1	SRR7989991
SID5423-3	4696	1	SRR7989988
SID5423-4	4697	1	SRR7989989
SID5425-1	4698	1	SRR7989986
SID5425-2	4699	1	SRR7989987
SID5425-3	4700	1	SRR7989984
SID5425-4	4701	1	SRR7989985
SID5426-1	4702	1	SRR8097420
SID5427-1	4703	1	SRR7989982
SID5427-2	4704	1	SRR7989983
SID5427-3	4705	1	SRR7989809
SID5427-4	4706	1	SRR7989808
SID5428-1	4707	1	SRR7989807
SID5428-2	4708	1	SRR7989806
SID5428-3	4709	1	SRR7989813
SID5428-4	4710	1	SRR7989812
SID5429-1	4711	1	SRR7989811
SID5429-2	4712	1	SRR7989810
SID5429-3	4713	1	SRR7989805
SID5429-4	4714	1	SRR7989804
SID5433-1	4715	1	SRR7989839
SID5433-2	4716	1	SRR7989840
SID5433-3	4717	1	SRR7989841
SID5433-4	4718	1	SRR7989842
SID5434-1	4719	1	SRR7989835
SID5434-2	4720	1	SRR7989836
SID5434-3	4721	1	SRR7989837
SID5434-4	4722	1	SRR7989838
SID5435-1	4723	1	SRR7989843
SID5435-2	4724	1	SRR7989844
SID5435-3	4725	1	SRR7989868
SID5435-4	4726	1	SRR7989867
SID5438-1	4727	1	SRR7989870
SID5438-2	4728	1	SRR7989869
SID5438-3	4729	1	SRR7989872
SID5438-4	4730	1	SRR7989871
SID5439-1	4731	1	SRR7989874
SID5439-2	4732	1	SRR7989873
SID5439-3	4733	1	SRR7989876
SID5439-4	4734	1	SRR7989875
SID5440-1	4735	1	SRR7989879
SID5440-2	4736	1	SRR7989880
SID5440-3	4737	1	SRR7989877
SID5440-4	4738	1	SRR7989878
SID5441-1	4739	1	SRR7989883
SID5441-2	4740	1	SRR7989884
SID5441-3	4741	1	SRR7989881
SID5441-4	4742	1	SRR7989882
SID5442-1	4744	1	SRR7989885
SID5442-2	4745	1	SRR7989886
SID5442-3	4746	1	SRR7989891
SID5442-4	4747	1	SRR7989845
SID5443-1	4749	1	SRR7989930
SID5443-2	4750	1	SRR7989927
SID5443-3	4751	1	SRR7989856
