Sample	Run	Lane	Remote
DHAK_HA	292	1	SRR5898946
DHAK_HAA	293	1	SRR5898947
DHAK_HAB	294	1	SRR5898917
DHAK_HAC	295	1	SRR5898916
DHAK_HAD	296	1	SRR5898915
DHAK_HAE	297	1	SRR5898914
DHAK_HAF	298	1	SRR5898913
DHAK_HAG	299	1	SRR5898912
DHAK_HAH	300	1	SRR5898911
DHAK_HAI	301	1	SRR5898910
DHAK_HAJ	302	1	SRR5898909
DHAK_HAK	303	1	SRR5898908
DHAK_HAL	304	1	SRR5898920
DHAK_HAM	305	1	SRR5898921
DHAK_HAN	306	1	SRR5898922
DHAK_HAO	307	1	SRR5898923
DHAK_HAP	308	1	SRR5898924
DHAK_HAR	309	1	SRR5898925
DHAK_HAT	310	1	SRR5898926
DHAK_HAU	311	1	SRR5898927
DHAK_HAV	312	1	SRR5898918
DHAK_HAX	313	1	SRR5898919
DHAK_HAZ	314	1	SRR5898991
DHAK_HB	315	1	SRR5898990
DHAK_HBA	316	1	SRR5898993
DHAK_HBB	317	1	SRR5898992
DHAK_HBC	318	1	SRR5898995
DHAK_HBD	319	1	SRR5898994
DHAK_HBE	320	1	SRR5898997
DHAK_HBF	321	1	SRR5898996
DHAK_HBG	322	1	SRR5898989
DHAK_HBH	323	1	SRR5898988
DHAK_HBI	324	1	SRR5899012
DHAK_HBJ	325	1	SRR5899013
DHAK_HBK	326	1	SRR5899010
DHAK_HBL	327	1	SRR5899011
DHAK_HBM	328	1	SRR5899016
DHAK_HBR	329	1	SRR5899017
DHAK_HBV	330	1	SRR5899014
DHAK_HBW	331	1	SRR5899015
DHAK_HBY	332	1	SRR5899008
DHAK_HBZ	333	1	SRR5899009
DHAK_HC	334	1	SRR5898961
DHAK_HCA	335	1	SRR5898960
DHAK_HCB	336	1	SRR5898959
DHAK_HCD	337	1	SRR5898958
DHAK_HCF	338	1	SRR5898965
DHAK_HCH	339	1	SRR5898964
DHAK_HCI	340	1	SRR5898963
DHAK_HCJ	341	1	SRR5898962
DHAK_HCK	342	1	SRR5898967
DHAK_HCL	343	1	SRR5898966
DHAK_HCM	344	1	SRR5898984
DHAK_HCN	345	1	SRR5898985
DHAK_HCO	346	1	SRR5898986
DHAK_HCP	347	1	SRR5898987
DHAK_HCQ	348	1	SRR5898980
DHAK_HCR	349	1	SRR5898981
DHAK_HCS	350	1	SRR5898982
DHAK_HCT	351	1	SRR5898983
DHAK_HCU	352	1	SRR5898978
DHAK_HCV	353	1	SRR5898979
DHAK_HCW	354	1	SRR5898955
DHAK_HCY	355	1	SRR5898954
DHAK_HCZ	356	1	SRR5898957
DHAK_HD	357	1	SRR5898956
DHAK_HDA	358	1	SRR5898951
DHAK_HDB	359	1	SRR5898950
DHAK_HDC	360	1	SRR5898953
DHAK_HDD	361	1	SRR5898952
DHAK_HDE	362	1	SRR5898949
DHAK_HDF	363	1	SRR5898948
DHAK_HE	364	1	SRR5898976
DHAK_HF	365	1	SRR5898977
DHAK_HG	366	1	SRR5898974
DHAK_HJ	367	1	SRR5898972
DHAK_HK	368	1	SRR5898973
DHAK_HL	369	1	SRR5898970
DHAK_HM	370	1	SRR5898971
DHAK_HN	371	1	SRR5898968
DHAK_HO	372	1	SRR5898969
DHAK_HP	373	1	SRR5899005
DHAK_HQ	374	1	SRR5899004
DHAK_HR	375	1	SRR5899007
DHAK_HS	376	1	SRR5899006
DHAK_HT	377	1	SRR5899001
DHAK_HU	378	1	SRR5899000
DHAK_HZ	379	1	SRR5898998
