Sample	Run	Lane	Remote
YEZ_N-1	6826	1	SRR8675875
YEZ_N-10	6827	1	SRR8675872
YEZ_N-11	6828	1	SRR8675879
YEZ_N-12	6829	1	SRR8675878
YEZ_N-13	6830	1	SRR8675877
YEZ_N-14	6831	1	SRR8675876
YEZ_N-15	6832	1	SRR8675880
YEZ_N-16	6833	1	SRR8675883
YEZ_N-17	6834	1	SRR8675882
YEZ_N-18	6835	1	SRR8675885
YEZ_N-19	6836	1	SRR8675884
YEZ_N-2	6837	1	SRR8675881
YEZ_N-20	6838	1	SRR8675887
YEZ_N-21	6839	1	SRR8675886
YEZ_N-22	6840	1	SRR8675889
YEZ_N-23	6841	1	SRR8675888
YEZ_N-24	6842	1	SRR8675891
YEZ_N-25	6843	1	SRR8675906
YEZ_N-26	6844	1	SRR8675907
YEZ_N-27	6845	1	SRR8675908
YEZ_N-28	6846	1	SRR8675909
YEZ_N-29	6847	1	SRR8675902
YEZ_N-3	6848	1	SRR8675890
YEZ_N-30	6849	1	SRR8675903
YEZ_N-31	6850	1	SRR8675904
YEZ_N-32	6851	1	SRR8675905
YEZ_N-33	6852	1	SRR8675914
YEZ_N-34	6853	1	SRR8675915
YEZ_N-35	6854	1	SRR8675893
YEZ_N-36	6855	1	SRR8675892
YEZ_N-37	6856	1	SRR8675921
YEZ_N-38	6857	1	SRR8675918
YEZ_N-39	6858	1	SRR8675897
YEZ_N-4	6859	1	SRR8675912
YEZ_N-40	6860	1	SRR8675896
YEZ_N-41	6861	1	SRR8675895
YEZ_N-42	6862	1	SRR8675894
YEZ_N-43	6863	1	SRR8675900
YEZ_N-44	6864	1	SRR8675899
YEZ_N-45	6865	1	SRR8675916
YEZ_N-46	6866	1	SRR8675917
YEZ_N-47	6867	1	SRR8675871
YEZ_N-48	6868	1	SRR8675870
YEZ_N-8	6869	1	SRR8675874
YEZ_N-9	6870	1	SRR8675873
