Sample	Run	Lane	Remote
TRAVELRES1	5495	1	ERR636349
TRAVELRES10	5496	1	ERR636358
TRAVELRES11	5497	1	ERR636359
TRAVELRES12	5498	1	ERR636360
TRAVELRES13	5499	1	ERR636361
TRAVELRES14	5500	1	ERR636362
TRAVELRES15	5501	1	ERR636363
TRAVELRES16	5502	1	ERR636364
TRAVELRES17	5503	1	ERR636365
TRAVELRES18	5504	1	ERR636366
TRAVELRES19	5505	1	ERR636367
TRAVELRES2	5506	1	ERR636350
TRAVELRES20	5507	1	ERR636368
TRAVELRES21	5508	1	ERR636369
TRAVELRES22	5509	1	ERR636370
TRAVELRES23	5510	1	ERR636371
TRAVELRES24	5511	1	ERR636372
TRAVELRES25	5512	1	ERR636373
TRAVELRES26	5513	1	ERR636374
TRAVELRES27	5514	1	ERR636375
TRAVELRES28	5515	1	ERR636376
TRAVELRES29	5516	1	ERR636377
TRAVELRES3	5517	1	ERR636351
TRAVELRES30	5518	1	ERR636378
TRAVELRES31	5519	1	ERR636379
TRAVELRES32	5520	1	ERR636380
TRAVELRES33	5521	1	ERR636381
TRAVELRES34	5522	1	ERR636382
TRAVELRES35	5523	1	ERR636383
TRAVELRES36	5524	1	ERR636384
TRAVELRES37	5525	1	ERR636385
TRAVELRES38	5526	1	ERR636386
TRAVELRES39	5527	1	ERR636387
TRAVELRES4	5528	1	ERR636352
TRAVELRES40	5529	1	ERR636388
TRAVELRES41	5530	1	ERR636389
TRAVELRES42	5531	1	ERR636390
TRAVELRES43	5532	1	ERR636391
TRAVELRES44	5533	1	ERR636392
TRAVELRES45	5534	1	ERR636393
TRAVELRES46	5535	1	ERR636394
TRAVELRES47	5536	1	ERR636395
TRAVELRES48	5537	1	ERR636396
TRAVELRES49	5538	1	ERR636397
TRAVELRES5	5539	1	ERR636353
TRAVELRES50	5540	1	ERR636398
TRAVELRES51	5541	1	ERR636399
TRAVELRES52	5542	1	ERR636400
TRAVELRES53	5543	1	ERR636401
TRAVELRES54	5544	1	ERR636402
TRAVELRES55	5545	1	ERR636403
TRAVELRES56	5546	1	ERR636404
TRAVELRES57	5547	1	ERR636405
TRAVELRES58	5548	1	ERR636406
TRAVELRES59	5549	1	ERR636407
TRAVELRES6	5550	1	ERR636354
TRAVELRES60	5551	1	ERR636408
TRAVELRES61	5552	1	ERR636409
TRAVELRES62	5553	1	ERR636410
TRAVELRES63	5554	1	ERR636411
TRAVELRES64	5555	1	ERR636412
TRAVELRES65	5556	1	ERR636413
TRAVELRES66	5557	1	ERR636414
TRAVELRES67	5558	1	ERR636415
TRAVELRES68	5559	1	ERR636416
TRAVELRES69	5560	1	ERR636417
TRAVELRES7	5561	1	ERR636355
TRAVELRES70	5562	1	ERR636418
TRAVELRES8	5563	1	ERR636356
TRAVELRES9	5564	1	ERR636357
