Sample	Run	Lane	Remote
SRS011084	5121	1	SRR062103
SRS011084	5122	1	SRR062102
SRS011084	5123	1	SRR061904
SRS011084	5124	1	SRR061903
SRS011134	5125	1	SRR060443
SRS011134	5126	1	SRR060442
SRS011239	5127	1	SRR059855
SRS011239	5128	1	SRR059854
SRS011271	5129	1	SRR061168
SRS011271	5130	1	SRR061170
SRS011302	5131	1	SRR060411
SRS011302	5132	1	SRR060410
SRS011405	5133	1	SRR061164
SRS011405	5134	1	SRR061166
SRS011452	5135	1	SRR346668
SRS011452	5136	1	SRR346703
SRS011452	5137	1	SRR062426
SRS011452	5138	1	SRR062428
SRS011529	5139	1	SRR061153
SRS011529	5140	1	SRR061173
SRS011586	5141	1	SRR061144
SRS011586	5142	1	SRR061145
SRS012273	5143	1	SRR059413
SRS012273	5144	1	SRR059412
SRS012902	5145	1	SRR059421
SRS012902	5146	1	SRR059420
SRS013158	5147	1	SRR059897
SRS013158	5148	1	SRR059896
SRS013215	5149	1	SRR059367
SRS013215	5150	1	SRR059366
SRS013476	5151	1	SRR059505
SRS013476	5152	1	SRR059504
SRS013521	5153	1	SRR059812
SRS013521	5154	1	SRR059813
SRS013687	5155	1	SRR060375
SRS013687	5156	1	SRR060374
SRS013800	5157	1	SRR059339
SRS013800	5158	1	SRR059338
SRS013951	5159	1	SRR061137
SRS013951	5160	1	SRR062323
SRS014235	5161	1	SRR061557
SRS014235	5162	1	SRR061558
SRS014287	5163	1	SRR062386
SRS014287	5164	1	SRR062388
SRS014313	5165	1	SRR063468
SRS014313	5166	1	SRR063469
SRS014459	5167	1	SRR061138
SRS014459	5168	1	SRR062321
SRS014613	5169	1	SRR061226
SRS014613	5170	1	SRR061229
SRS014683	5171	1	SRR061044
SRS014683	5172	1	SRR061135
SRS014923	5173	1	SRR061326
SRS014923	5174	1	SRR061368
SRS014979	5175	1	SRR061149
SRS014979	5176	1	SRR061156
SRS015065	5177	1	SRR061136
SRS015065	5178	1	SRR062320
SRS015133	5179	1	SRR061182
SRS015133	5180	1	SRR061204
SRS015190	5181	1	SRR061143
SRS015190	5182	1	SRR061147
SRS015217	5183	1	SRR061331
SRS015217	5184	1	SRR061334
SRS015264	5185	1	SRR063480
SRS015264	5186	1	SRR063481
SRS015663	5187	1	SRR061205
SRS015663	5188	1	SRR061209
SRS015782	5189	1	SRR061183
SRS015782	5190	1	SRR061208
SRS015794	5191	1	SRR063540
SRS015794	5192	1	SRR063542
SRS015794	5193	1	SRR063551
SRS015794	5194	1	SRR063553
SRS015794	5195	1	SRR063554
SRS015794	5196	1	SRR063555
SRS015794	5197	1	SRR061185
SRS015794	5198	1	SRR061195
SRS015854	5199	1	SRR061496
SRS015854	5200	1	SRR061497
SRS015960	5201	1	SRR061255
SRS015960	5202	1	SRR062524
SRS016018	5203	1	SRR061191
SRS016018	5204	1	SRR061197
SRS016018	5205	1	SRR346666
SRS016056	5206	1	SRR061198
SRS016056	5207	1	SRR061200
SRS016095	5208	1	SRR061169
SRS016095	5209	1	SRR061172
SRS016203	5210	1	SRR062538
SRS016203	5211	1	SRR062539
SRS016203	5212	1	SRR346679
SRS016203	5213	1	SRR353617
SRS016267	5214	1	SRR061494
SRS016267	5215	1	SRR061495
SRS016335	5216	1	SRR061157
SRS016335	5217	1	SRR061161
SRS016495	5218	1	SRR060025
SRS016495	5219	1	SRR060026
SRS016585	5220	1	SRR059347
SRS016585	5221	1	SRR059346
SRS016753	5222	1	SRR059831
SRS016753	5223	1	SRR059830
SRS016954	5224	1	SRR061920
SRS016954	5225	1	SRR061919
SRS016989	5226	1	SRR059373
SRS016989	5227	1	SRR059372
SRS017103	5228	1	SRR060365
SRS017103	5229	1	SRR060364
SRS017191	5230	1	SRR060359
SRS017191	5231	1	SRR060358
SRS017247	5232	1	SRR059828
SRS017247	5233	1	SRR059829
SRS017307	5234	1	SRR059885
SRS017307	5235	1	SRR059884
SRS017521	5236	1	SRR059887
SRS017521	5237	1	SRR059886
SRS017701	5238	1	SRR059353
