Sample	Run	Lane	Remote
YSZC12003_35365	6871	1	ERR911953
YSZC12003_35366	6872	1	ERR912182
YSZC12003_35387	6873	1	ERR911954
YSZC12003_35388	6874	1	ERR911955
YSZC12003_35389R1	6875	1	ERR912073
YSZC12003_35390	6876	1	ERR912123
YSZC12003_35391	6877	1	ERR912074
YSZC12003_35392	6878	1	ERR911956
YSZC12003_35505	6879	1	ERR912124
YSZC12003_35506	6880	1	ERR912125
YSZC12003_35511	6881	1	ERR912126
YSZC12003_35512	6882	1	ERR911957
YSZC12003_35515	6883	1	ERR911958
YSZC12003_35516	6884	1	ERR911959
YSZC12003_35519	6885	1	ERR912075
YSZC12003_35520	6886	1	ERR912076
YSZC12003_35523	6887	1	ERR911960
YSZC12003_35524	6888	1	ERR911961
YSZC12003_35541	6889	1	ERR912077
YSZC12003_35542	6890	1	ERR911962
YSZC12003_35549	6891	1	ERR911963
YSZC12003_35550	6892	1	ERR911964
YSZC12003_35551	6893	1	ERR911965
YSZC12003_35552	6894	1	ERR912078
YSZC12003_35561	6895	1	ERR912079
YSZC12003_35562	6896	1	ERR912080
YSZC12003_35563	6897	1	ERR911966
YSZC12003_35564	6898	1	ERR912127
YSZC12003_35577	6899	1	ERR911967
YSZC12003_35578	6900	1	ERR911968
YSZC12003_35583	6901	1	ERR911969
YSZC12003_35629	6902	1	ERR912128
YSZC12003_35630	6903	1	ERR911970
YSZC12003_35635	6904	1	ERR911971
YSZC12003_35636	6905	1	ERR912129
YSZC12003_35653	6906	1	ERR912081
YSZC12003_35654	6907	1	ERR912130
YSZC12003_35657	6908	1	ERR911972
YSZC12003_35658	6909	1	ERR911973
YSZC12003_35665	6910	1	ERR911974
YSZC12003_35666	6911	1	ERR911975
YSZC12003_35697	6912	1	ERR911976
YSZC12003_35698	6913	1	ERR912131
YSZC12003_35703	6914	1	ERR912183
YSZC12003_35704	6915	1	ERR912082
YSZC12003_35705	6916	1	ERR911977
YSZC12003_35706	6917	1	ERR911978
YSZC12003_35707	6918	1	ERR912184
YSZC12003_35708	6919	1	ERR912083
YSZC12003_35712	6920	1	ERR911979
YSZC12003_35723	6921	1	ERR911980
YSZC12003_35724	6922	1	ERR912185
YSZC12003_35733	6923	1	ERR911981
YSZC12003_35734	6924	1	ERR912132
YSZC12003_35739	6925	1	ERR911982
YSZC12003_35740	6926	1	ERR911983
YSZC12003_35741	6927	1	ERR911984
YSZC12003_35742	6928	1	ERR911985
YSZC12003_35837	6929	1	ERR912084
YSZC12003_35838	6930	1	ERR912085
YSZC12003_35979	6931	1	ERR911986
YSZC12003_35980	6932	1	ERR911987
YSZC12003_35989	6933	1	ERR912086
YSZC12003_35990	6934	1	ERR912133
YSZC12003_35991	6935	1	ERR911988
YSZC12003_35992	6936	1	ERR911989
YSZC12003_35999	6937	1	ERR912186
YSZC12003_36000	6938	1	ERR912187
YSZC12003_36005	6939	1	ERR911990
YSZC12003_36006	6940	1	ERR911991
YSZC12003_36007	6941	1	ERR912134
YSZC12003_36008	6942	1	ERR912087
YSZC12003_36011	6943	1	ERR911992
YSZC12003_36012	6944	1	ERR912135
YSZC12003_36019	6945	1	ERR912188
YSZC12003_36020	6946	1	ERR912088
YSZC12003_36033	6947	1	ERR911993
YSZC12003_36034	6948	1	ERR911994
YSZC12003_36049	6949	1	ERR911995
YSZC12003_36050	6950	1	ERR912089
YSZC12003_36051	6951	1	ERR912090
YSZC12003_36052	6952	1	ERR912136
YSZC12003_36055	6953	1	ERR912137
YSZC12003_36056	6954	1	ERR911996
YSZC12003_36057	6955	1	ERR911997
YSZC12003_36058	6956	1	ERR911998
YSZC12003_36116	6957	1	ERR911999
YSZC12003_36117	6958	1	ERR912091
YSZC12003_36118	6959	1	ERR912000
YSZC12003_36119	6960	1	ERR912092
YSZC12003_36157	6961	1	ERR912001
YSZC12003_36158	6962	1	ERR912093
YSZC12003_36211	6963	1	ERR912002
YSZC12003_36212	6964	1	ERR912003
YSZC12003_36243	6965	1	ERR912004
YSZC12003_36244	6966	1	ERR912094
YSZC12003_36389	6967	1	ERR912095
YSZC12003_36390	6968	1	ERR912096
YSZC12003_36439	6969	1	ERR912005
YSZC12003_36440	6970	1	ERR912006
YSZC12003_36453	6971	1	ERR912007
YSZC12003_36454	6972	1	ERR912008
YSZC12003_36473	6973	1	ERR912009
YSZC12003_36474	6974	1	ERR912097
YSZC12003_36521	6975	1	ERR912010
YSZC12003_36522	6976	1	ERR912011
YSZC12003_36525	6977	1	ERR912098
YSZC12003_36526	6978	1	ERR912012
YSZC12003_36533	6979	1	ERR912099
