Sample	Run	Lane	Remote
FAT_014-22-42-0	380	1	ERR1297820
FAT_014-22-42-0	381	1	ERR1297792
FAT_014-22-42-0	382	1	ERR1297751
FAT_014-22-42-0	383	1	ERR1297716
FAT_014-22-42-0	384	1	ERR1297597
FAT_014-22-42-0	385	1	ERR1297547
FAT_014-22-42-0	386	1	ERR1297498
FAT_014-22-42-0	387	1	ERR1297443
FAT_024-22-2-0	388	1	ERR1297848
FAT_024-22-2-0	389	1	ERR1297833
FAT_024-22-2-0	390	1	ERR1297784
FAT_024-22-2-0	391	1	ERR1297581
FAT_024-22-2-0	392	1	ERR1297511
FAT_024-22-2-0	393	1	ERR1297433
FAT_024-22-84-0	394	1	ERR1297847
FAT_024-22-84-0	395	1	ERR1297738
FAT_024-22-84-0	396	1	ERR1297643
FAT_024-22-84-0	397	1	ERR1297539
FAT_024-22-84-0	398	1	ERR1297536
FAT_024-22-84-0	399	1	ERR1297492
