Sample	Run	Lane	Remote
OBK1122	2476	1	ERR262939
OBK1122	2477	1	ERR262938
OBK1196	2478	1	ERR262941
OBK1196	2479	1	ERR262940
OBK1253	2480	1	ERR262942
OBK1253	2481	1	ERR260476
OBK2535	2482	1	ERR260478
OBK2535	2483	1	ERR260477
OBK2535b	2484	1	ERR260479
OBK2638	2485	1	ERR262943
OBK2638	2486	1	ERR260480
OBK2661	2487	1	ERR260481
OBK2668	2488	1	ERR262944
OBK2723	2489	1	ERR262946
OBK2723	2490	1	ERR262945
OBK2741	2491	1	ERR262947
OBK2752	2492	1	ERR260482
OBK2758	2493	1	ERR260483
OBK2764	2494	1	ERR260484
OBK2772	2495	1	ERR260485
OBK2828	2496	1	ERR260486
OBK2840	2497	1	ERR260487
OBK2848	2498	1	ERR260488
OBK2849	2499	1	ERR262948
OBK2878	2500	1	ERR260489
OBK2880	2501	1	ERR260490
OBK2896	2502	1	ERR260491
OBK2971	2503	1	ERR260492
OBK3014	2504	1	ERR262949
OBK3132	2505	1	ERR260493
OBK3134	2506	1	ERR260494
OBK3135	2507	1	ERR260495
OBK3185	2508	1	ERR262951
OBK3303	2509	1	ERR260496
OBK3549	2510	1	ERR260497
OBK3587	2511	1	ERR262952
OBK3646	2512	1	ERR260498
OBK3751	2513	1	ERR260499
OBK3852	2514	1	ERR260500
OBK3958	2515	1	ERR262953
OBK4096	2516	1	ERR262955
OBK4096	2517	1	ERR262954
OBK4112	2518	1	ERR262956
OBK4141	2519	1	ERR260501
OBK4168	2520	1	ERR262957
OBK4198	2521	1	ERR260502
OBK4328	2522	1	ERR262958
OBK4328	2523	1	ERR260503
OBK4508	2524	1	ERR260504
OBK4961	2525	1	ERR262959
OBK4961	2526	1	ERR260505
OBK5066	2527	1	ERR260506
