Sample	Run	Lane	Remote
H1F413846	1160	1	ERR1398121
H1F512951	1161	1	ERR1398068
H1F513817	1162	1	ERR1398201
H1F513818	1163	1	ERR1398155
H1F613739	1164	1	ERR1398222
H1M213648	1165	1	ERR1398255
H1M313811	1166	1	ERR1398091
H1M412743	1167	1	ERR1398140
H1M412809	1168	1	ERR1398188
H1M412832	1169	1	ERR1398098
H1M412835	1170	1	ERR1398087
H1M412837	1171	1	ERR1398240
H1M412844	1172	1	ERR1398070
H1M412949	1173	1	ERR1398238
H1M413802	1174	1	ERR1398190
H1M413815	1175	1	ERR1398072
H1M413822	1176	1	ERR1398106
H1M413827	1177	1	ERR1398234
H1M414905	1178	1	ERR1398165
H1M511833	1179	1	ERR1398215
H1M511841	1180	1	ERR1398080
H1M511842	1181	1	ERR1398210
H1M512808	1182	1	ERR1398193
H1M512821	1183	1	ERR1398086
H1M512831	1184	1	ERR1398160
H1M512834	1185	1	ERR1398133
H1M512836	1186	1	ERR1398156
H1M512840	1187	1	ERR1398175
H1M512853	1188	1	ERR1398094
H1M512854	1189	1	ERR1398139
H1M512855	1190	1	ERR1398187
H1M513606	1191	1	ERR1398195
H1M513729	1192	1	ERR1398171
H1M513730	1193	1	ERR1398074
H1M513738	1194	1	ERR1398259
H1M513747	1195	1	ERR1398194
H1M513803	1196	1	ERR1398071
H1M513804	1197	1	ERR1398209
H1M513807	1198	1	ERR1398246
H1M513810	1199	1	ERR1398249
H1M513813	1200	1	ERR1398096
H1M513816	1201	1	ERR1398241
H1M513819	1202	1	ERR1398108
H1M513820	1203	1	ERR1398084
H1M513823	1204	1	ERR1398150
H1M513826	1205	1	ERR1398158
H1M513828	1206	1	ERR1398092
H1M513852	1207	1	ERR1398219
H1M513912	1208	1	ERR1398081
H1M514901	1209	1	ERR1398111
H1M5XX814	1210	1	ERR1398167
H1M612950	1211	1	ERR1398185
H1M613745	1212	1	ERR1398183
H1M613824	1213	1	ERR1398141
H1M613825	1214	1	ERR1398231
H2F413935	1222	1	ERR1398124
H2F514910	1223	1	ERR1398211
H2F514923	1224	1	ERR1398208
H2M411920	1225	1	ERR1398122
H2M413913	1226	1	ERR1398110
H2M413915	1227	1	ERR1398159
H2M413924	1228	1	ERR1398137
H2M414102	1229	1	ERR1398131
H2M414926	1230	1	ERR1398204
H2M414927	1231	1	ERR1398200
H2M414931	1232	1	ERR1398162
H2M414940	1233	1	ERR1398196
H2M415914	1234	1	ERR1398135
H2M511919	1235	1	ERR1398250
H2M513933	1236	1	ERR1398220
H2M513934	1237	1	ERR1398184
H2M513936	1238	1	ERR1398151
H2M513937	1239	1	ERR1398199
H2M513938	1240	1	ERR1398228
H2M513939	1241	1	ERR1398120
H2M514107	1242	1	ERR1398221
H2M514108	1243	1	ERR1398095
H2M514818	1244	1	ERR1398230
H2M514841	1245	1	ERR1398254
H2M514901	1246	1	ERR1398132
H2M514903	1247	1	ERR1398174
H2M514905	1248	1	ERR1398232
H2M514906	1249	1	ERR1398251
H2M514909	1250	1	ERR1398189
H2M514911	1251	1	ERR1398076
H2M514917	1252	1	ERR1398125
H2M514925	1253	1	ERR1398157
H2M514930	1254	1	ERR1398146
H2M514943	1255	1	ERR1398225
H2M515822	1256	1	ERR1398177
H2M515921	1257	1	ERR1398179
H2M614742	1258	1	ERR1398143
H2M614832	1259	1	ERR1398245
H2M614904	1260	1	ERR1398212
H2M614929	1261	1	ERR1398252
H2M615912	1262	1	ERR1398235
H2MX14816	1263	1	ERR1398207
H2MX14928	1264	1	ERR1398166
H3F416103	1266	1	ERR1398112
H3F516111	1267	1	ERR1398236
H3M414933	1268	1	ERR1398115
H3M415117	1269	1	ERR1398258
H3M415131	1270	1	ERR1398239
H3M415140	1271	1	ERR1398128
H3M415852	1272	1	ERR1398097
H3M415906	1273	1	ERR1398191
H3M416124	1274	1	ERR1398069
H3M416127	1275	1	ERR1398105
H3M419939	1276	1	ERR1398136
H3M420126	1277	1	ERR1398154
H3M513141	1278	1	ERR1398073
H3M514142	1279	1	ERR1398145
H3M514143	1280	1	ERR1398104
H3M514144	1281	1	ERR1398119
H3M515101	1282	1	ERR1398093
H3M515107	1283	1	ERR1398134
H3M515123	1284	1	ERR1398168
H3M515128	1285	1	ERR1398090
H3M515130	1286	1	ERR1398117
H3M515137	1287	1	ERR1398172
H3M515138	1288	1	ERR1398088
H3M515902	1289	1	ERR1398229
H3M515910	1290	1	ERR1398116
H3M515915	1291	1	ERR1398186
H3M515920	1292	1	ERR1398181
H3M515935	1293	1	ERR1398085
H3M515936	1294	1	ERR1398149
H3M515950	1295	1	ERR1398262
H3M516105	1296	1	ERR1398163
H3M516113	1297	1	ERR1398176
H3M516114	1298	1	ERR1398233
H3M516118	1299	1	ERR1398077
H3M516129	1300	1	ERR1398182
H3M516154	1301	1	ERR1398123
H3M516751	1302	1	ERR1398260
H3M516804	1303	1	ERR1398107
H3M516845	1304	1	ERR1398202
H3M516909	1305	1	ERR1398103
H3M517134	1306	1	ERR1398170
H3M517921	1307	1	ERR1398247
H3M517922	1308	1	ERR1398203
H3M517925	1309	1	ERR1398130
H3M518108	1310	1	ERR1398197
H3M518112	1311	1	ERR1398099
H3M518116	1312	1	ERR1398256
H3M615132	1313	1	ERR1398261
H3M615747	1314	1	ERR1398216
H3M615846	1315	1	ERR1398082
H3M616753	1316	1	ERR1398079
H3M616848	1317	1	ERR1398227
H3M617849	1318	1	ERR1398142
H3MX16919	1319	1	ERR1398226
nHF409542	2394	1	ERR1398244
nHF411719	2395	1	ERR1398138
nHF411741	2396	1	ERR1398169
nHF511704	2397	1	ERR1398129
nHF512818	2398	1	ERR1398248
nHF512829	2399	1	ERR1398152
nHF611623	2400	1	ERR1398223
nHF611710	2401	1	ERR1398242
nHF612722	2402	1	ERR1398161
nHM410714	2403	1	ERR1398153
nHM410727	2404	1	ERR1398218
nHM410833	2405	1	ERR1398101
nHM411801	2406	1	ERR1398164
nHM412703	2407	1	ERR1398198
nHM412716	2408	1	ERR1398214
nHM412839	2409	1	ERR1398213
nHM412840	2410	1	ERR1398102
nHM412844	2411	1	ERR1398205
nHM510732	2412	1	ERR1398180
nHM510737	2413	1	ERR1398144
nHM510831	2414	1	ERR1398113
nHM511615	2415	1	ERR1398078
nHM511712	2416	1	ERR1398075
nHM511717	2417	1	ERR1398192
nHM511720	2418	1	ERR1398083
nHM511730	2419	1	ERR1398178
nHM511735	2420	1	ERR1398148
nHM511738	2421	1	ERR1398217
nHM511813	2422	1	ERR1398126
nHM511821	2423	1	ERR1398237
nHM511825	2424	1	ERR1398257
nHM512705	2425	1	ERR1398173
nHM512802	2426	1	ERR1398243
nHM512806	2427	1	ERR1398127
nHM512811	2428	1	ERR1398263
nHM512828	2429	1	ERR1398114
nHM512834	2430	1	ERR1398109
nHM611708	2431	1	ERR1398206
nHM612607	2432	1	ERR1398089
nHM612709	2433	1	ERR1398100
nHM612724	2434	1	ERR1398224
nHM612743	2435	1	ERR1398118
nHM612836	2436	1	ERR1398147
nHMX11726	2437	1	ERR1398253
