Sample	Run	Lane	Remote
SID0002_gti	4269	1	SRR5275484
SID0004_cle	4270	1	SRR5275483
SID0005_aaf	4271	1	SRR5275482
SID0006_evh	4272	1	SRR5275481
SID0008_kcu	4273	1	SRR5275480
SID0009_rhg	4274	1	SRR5275479
SID0011_vkb	4275	1	SRR5275478
SID0012_qdz	4276	1	SRR5275477
SID0013_eop	4277	1	SRR5275476
SID0014_cps	4278	1	SRR5275475
SID0017_mqf	4279	1	SRR5275474
SID0018_fze	4280	1	SRR5275473
SID0020_jhi	4281	1	SRR5275472
SID1003_aac	4464	1	SRR5275471
SID1005_aae	4465	1	SRR5275470
SID1006_aaf	4466	1	SRR5275469
SID1009_aai	4467	1	SRR5275468
SID1011_aak	4468	1	SRR5275467
SID1012_aal	4469	1	SRR5275466
SID1014_aan	4470	1	SRR5275465
SID1015_aao	4471	1	SRR5275464
SID1019_aas	4472	1	SRR5275463
SID1022_aav	4473	1	SRR5275462
SID1030_bad	4474	1	SRR5275461
SID1035_bai	4475	1	SRR5275460
SID1037_bak	4476	1	SRR5275459
SID1040_ban	4477	1	SRR5275458
SID1041_bao	4478	1	SRR5275457
SID1048_bav	4479	1	SRR5275456
SID1049_baw	4480	1	SRR5275455
SID1050_bax	4481	1	SRR5275454
SID1052_baz	4482	1	SRR5275453
SID1053_bba	4483	1	SRR5275452
SID1054_bbb	4484	1	SRR5275451
SID5012_fio	4589	1	SRR5275450
SID5016_ish	4590	1	SRR5275449
SID5039_iqx	4591	1	SRR5275448
SID5049_uhx	4592	1	SRR5275447
SID5161_prh	4593	1	SRR5275446
SID5208_byt	4594	1	SRR5275445
SID5338_ihq	4649	1	SRR5275444
SID5355_yse	4650	1	SRR5275443
SID5362_xgk	4651	1	SRR5275442
SID5376_qdo	4652	1	SRR5275441
SID5390_yff	4653	1	SRR5275440
SID5391_rvn	4654	1	SRR5275439
SID5395_kej	4655	1	SRR5275438
SID5397_okf	4656	1	SRR5275437
SID5401_alw	4657	1	SRR5275436
SID5442_twn	4743	1	SRR5275435
SID5443_cul	4748	1	SRR5275434
SID5445_vub	4757	1	SRR5275433
SID5447_cka	4766	1	SRR5275432
SID5450_zsn	4775	1	SRR5275431
SID5458_vgp	4801	1	SRR5275430
SID5460_gix	4807	1	SRR5275429
SID5464_cib	4824	1	SRR5275428
SID5468_vbl	4834	1	SRR5275427
SID5473_irg	4845	1	SRR5275426
SID5486_yds	4876	1	SRR5275425
SID5488_wmq	4877	1	SRR5275424
SID5489_bgj	4878	1	SRR5275423
SID5490_ggo	4879	1	SRR5275422
SID5495_pls	4880	1	SRR5275421
SID5501_aaq	4881	1	SRR5275415
SID5561_vwa	4882	1	SRR5275414
SID5564_meq	4883	1	SRR5275413
SID5566_wwo	4884	1	SRR5275412
SID5570_qby	4885	1	SRR5275411
SID5571_lgi	4886	1	SRR5275410
SID5572_xty	4887	1	SRR5275409
SID5574_yeb	4888	1	SRR5275408
SID5577_ytn	4889	1	SRR5275407
SID5578_fjg	4890	1	SRR5275406
SID5579_bce	4891	1	SRR5275405
SID5581_yad	4892	1	SRR5275404
SID5584_vix	4893	1	SRR5275403
SID5625_bnh	4894	1	SRR5275402
SID5627_irb	4895	1	SRR5275401
SID5629_hiu	4896	1	SRR5275400
SID5630_kod	4897	1	SRR5275399
SID5631_soh	4898	1	SRR5275398
SID5634_lel	4899	1	SRR5275397
SID5636_prt	4900	1	SRR5275396
SID5639_uuc	4901	1	SRR5275395
SID5640_ijm	4902	1	SRR5275394
