Sample	Run	Lane	Remote
AS43_12	93	1	SRR2155180
AS43_18	94	1	SRR2155323
AS43_24	95	1	SRR2155339
AS43_3	96	1	SRR2155358
AS43_6	97	1	SRR2155377
AS44_0	98	1	SRR2155482
AS44_12	99	1	SRR2155181
AS44_18	100	1	SRR2155324
AS44_24	101	1	SRR2155340
AS44_3	102	1	SRR2155359
AS44_6	103	1	SRR2155379
AS45_0	104	1	SRR2155174
AS45_12	105	1	SRR2155182
AS45_24	106	1	SRR2155341
AS45_3	107	1	SRR2155360
AS45_6	108	1	SRR2155380
AS50_0	109	1	SRR2155306
AS50_12	110	1	SRR2155183
AS50_18	111	1	SRR2155325
AS50_24	112	1	SRR2155343
AS50_3	113	1	SRR2155361
AS50_6	114	1	SRR2155381
AS51_0	115	1	SRR2155319
AS51_12	116	1	SRR2155184
AS51_18	117	1	SRR2155326
AS51_24	118	1	SRR2155344
AS51_3	119	1	SRR2155362
AS51_6	120	1	SRR2155383
AS53_0	121	1	SRR2155333
AS53_12	122	1	SRR2155307
AS53_18	123	1	SRR2155327
AS53_24	124	1	SRR2155346
AS53_3	125	1	SRR2155365
AS53_6	126	1	SRR2155384
AS56_0	127	1	SRR2155345
AS56_12	128	1	SRR2155308
AS56_18	129	1	SRR2155328
AS56_24	130	1	SRR2155347
AS56_3	131	1	SRR2155367
AS56_6	132	1	SRR2155385
AS58_0	133	1	SRR2155356
AS58_12	134	1	SRR2155309
AS58_18	135	1	SRR2155330
AS58_24	136	1	SRR2155348
AS58_3	137	1	SRR2155368
AS58_6	138	1	SRR2155386
AS60_0	139	1	SRR2155370
AS60_12	140	1	SRR2155310
AS60_18	141	1	SRR2155331
AS60_24	142	1	SRR2155349
AS60_3	143	1	SRR2155369
AS60_6	144	1	SRR2155387
AS61_0	145	1	SRR2155382
AS61_12	146	1	SRR2155311
AS61_18	147	1	SRR2155332
AS61_24	148	1	SRR2155350
AS61_6	149	1	SRR2155388
AS62_0	150	1	SRR2155394
AS62_12	151	1	SRR2155312
AS62_18	152	1	SRR2155334
AS62_24	153	1	SRR2155351
AS62_3	154	1	SRR2155371
AS62_6	155	1	SRR2155390
AS63_0	156	1	SRR2155175
AS63_12	157	1	SRR2155314
AS63_18	158	1	SRR2155335
AS63_24	159	1	SRR2155352
AS63_3	160	1	SRR2155372
AS63_6	161	1	SRR2155391
AS64_0	162	1	SRR2155176
AS64_12	163	1	SRR2155315
AS64_18	164	1	SRR2155336
AS64_24	165	1	SRR2155353
AS64_3	166	1	SRR2155373
AS64_6	167	1	SRR2155392
AS65_0	168	1	SRR2155177
AS65_12	169	1	SRR2155317
AS65_18	170	1	SRR2155337
AS65_24	171	1	SRR2155354
AS65_3	172	1	SRR2155374
AS65_6	173	1	SRR2155393
AS66_0	174	1	SRR2155178
AS66_12	175	1	SRR2155318
AS66_18	176	1	SRR2155338
AS66_24	177	1	SRR2155355
AS66_3	178	1	SRR2155375
AS66_6	179	1	SRR2155395
AS68_0	180	1	SRR2155179
AS68_12	181	1	SRR2155321
AS68_24	182	1	SRR2155357
AS68_3	183	1	SRR2155376
AS68_6	184	1	SRR2155396
