Sample	Run	Lane	Remote
LD-Run1-05	1496	1	ERR866565
LD-Run1-06	1497	1	ERR866566
LD-Run1-07	1498	1	ERR866567
LD-Run1-08	1499	1	ERR866568
LD-Run1-09	1500	1	ERR866569
LD-Run1-10	1501	1	ERR866570
LD-Run1-11	1502	1	ERR866571
LD-Run1-12	1503	1	ERR866572
LD-Run2-01	1504	1	ERR866573
LD-Run2-02	1505	1	ERR866574
LD-Run2-03	1506	1	ERR866575
LD-Run2-04	1507	1	ERR866576
LD-Run2-05	1508	1	ERR866577
LD-Run2-06	1509	1	ERR866578
LD-Run2-07	1510	1	ERR866579
LD-Run2-08	1511	1	ERR866580
LD-Run2-09	1512	1	ERR866581
LD-Run2-10	1513	1	ERR866582
LD-Run2-13	1514	1	ERR866585
LD-Run2-15	1515	1	ERR866587
LD-Run2-16	1516	1	ERR866588
LD-Run2-17	1517	1	ERR866589
LD-Run2-18	1518	1	ERR866590
LD-Run2-21	1519	1	ERR866593
LD-Run2-24	1520	1	ERR866596
LD-Run2-25	1521	1	ERR866597
LD-Run2-26	1522	1	ERR866598
LD-Run2-27	1523	1	ERR866599
LD-Run2-28	1524	1	ERR866600
LD-Run2-30	1525	1	ERR866602
LD-Run2-31	1526	1	ERR866603
LD-Run2-32	1527	1	ERR866604
LD-Run2-33	1528	1	ERR866605
LD-Run2-36	1529	1	ERR866608
LD-Run2-37	1530	1	ERR866609
