Sample	Run	Lane	Remote
MG100153	2358	1	SRR5665043
MG100154	2359	1	SRR5665046
MG100155	2360	1	SRR5665045
MG100156	2361	1	SRR5665048
MG100157	2362	1	SRR5665047
MG100158	2363	1	SRR5665050
MG100159	2364	1	SRR5665049
MG100160	2365	1	SRR5665157
MG100161	2366	1	SRR5665158
MG100162	2367	1	SRR5665159
MG100163	2368	1	SRR5665160
MG100164	2369	1	SRR5665161
MG100165	2370	1	SRR5665162
MG100166	2371	1	SRR5665163
MG100167	2372	1	SRR5665164
MG100168	2373	1	SRR5665155
MG100169	2374	1	SRR5665156
MG100170	2375	1	SRR5665185
MG100171	2376	1	SRR5665184
MG100172	2377	1	SRR5665183
MG100173	2378	1	SRR5665182
MG100174	2379	1	SRR5665181
MG100175	2380	1	SRR5665180
MG100176	2381	1	SRR5665179
MG100177	2382	1	SRR5665178
MG100178	2383	1	SRR5665187
MG100179	2384	1	SRR5665186
MG100180	2385	1	SRR5665122
