Sample	Run	Lane	Remote
SAM_01	3873	1	SRR6000894
SAM_02	3874	1	SRR6000893
SAM_03	3875	1	SRR6000899
SAM_04	3876	1	SRR6000873
SAM_05	3877	1	SRR6000874
SAM_06	3878	1	SRR6000877
SAM_07	3879	1	SRR6000871
SAM_08	3880	1	SRR6000878
SAM_10	3881	1	SRR6000944
SAM_11	3882	1	SRR6000940
SAM_12	3883	1	SRR6000945
SAM_13	3884	1	SRR6000943
SAM_14	3885	1	SRR6000890
SAM_15	3886	1	SRR6000869
SAM_16	3887	1	SRR6000946
SAM_17	3888	1	SRR6000949
SAM_18	3889	1	SRR6000896
SAM_19	3890	1	SRR6000947
SAM_20	3891	1	SRR6000903
SAM_21	3892	1	SRR6000905
SAM_22	3893	1	SRR6000902
SAM_23	3894	1	SRR6000901
SAM_24	3895	1	SRR6000906
SAM_25	3896	1	SRR6000942
SAM_26	3897	1	SRR6000910
SAM_27	3898	1	SRR6000900
SAM_28	3899	1	SRR6000931
SAM_29	3900	1	SRR6000870
SAM_30	3901	1	SRR6000907
SAM_31	3902	1	SRR6000891
SAM_32	3903	1	SRR6000909
SAM_33	3904	1	SRR6000908
SAM_34	3905	1	SRR6000911
SAM_35	3906	1	SRR6000892
SAM_36	3907	1	SRR6000920
SAM_37	3908	1	SRR6000912
SAM_38	3909	1	SRR6000921
SAM_39	3910	1	SRR6000932
SAM_40	3911	1	SRR6000895
