Sample	Run	Lane	Remote
SAMEA104335941	4241	1	ERR2162200
SAMEA104335942	4242	1	ERR2162201
SAMEA104335943	4243	1	ERR2162202
SAMEA104335944	4244	1	ERR2162203
SAMEA104335945	4245	1	ERR2162204
SAMEA104335946	4246	1	ERR2162205
SAMEA104335947	4247	1	ERR2162206
SAMEA104335948	4248	1	ERR2162207
SAMEA104335949	4249	1	ERR2162208
SAMEA104335950	4250	1	ERR2162209
SAMEA104335951	4251	1	ERR2162210
SAMEA104335952	4252	1	ERR2162211
SAMEA104335953	4253	1	ERR2162212
SAMEA104335954	4254	1	ERR2162213
SAMEA104335955	4255	1	ERR2162214
SAMEA104335956	4256	1	ERR2162215
SAMEA104335957	4257	1	ERR2162216
SAMEA104335958	4258	1	ERR2162217
SAMEA104335959	4259	1	ERR2162218
SAMEA104335960	4260	1	ERR2162219
SAMEA104335961	4261	1	ERR2162220
SAMEA104335962	4262	1	ERR2162221
SAMEA104335963	4263	1	ERR2162222
SAMEA104335964	4264	1	ERR2162223
SAMEA104335965	4265	1	ERR2162224
