Sample	Run	Lane	Remote
SZAXPI003417-4	5442	1	ERR1018193
SZAXPI003419-6	5443	1	ERR1018195
SZAXPI003429-3	5444	1	ERR1018205
SZAXPI003433-7	5445	1	ERR1018209
SZAXPI015212-113	5446	1	ERR1018217
SZAXPI015227-13	5447	1	ERR1018232
SZAXPI015228-14	5448	1	ERR1018233
SZAXPI015229-15	5449	1	ERR1018234
SZAXPI015230-16	5450	1	ERR1018235
SZAXPI015231-17	5451	1	ERR1018236
SZAXPI015232-18	5452	1	ERR1018237
SZAXPI015233-19	5453	1	ERR1018238
SZAXPI015234-20	5454	1	ERR1018239
SZAXPI015235-21	5455	1	ERR1018240
SZAXPI015238-24	5456	1	ERR1018242
SZAXPI015239-25	5457	1	ERR1018243
SZAXPI015240-26	5458	1	ERR1018244
SZAXPI015241-27	5459	1	ERR1018245
SZAXPI015242-30	5460	1	ERR1018246
SZAXPI015243-31	5461	1	ERR1018247
SZAXPI015244-32	5462	1	ERR1018248
SZAXPI015245-33	5463	1	ERR1018249
SZAXPI015246-34	5464	1	ERR1018250
SZAXPI015247-35	5465	1	ERR1018251
SZAXPI015248-36	5466	1	ERR1018252
SZAXPI015249-37	5467	1	ERR1018253
SZAXPI015250-39	5468	1	ERR1018254
SZAXPI015251-41	5469	1	ERR1018255
SZAXPI015252-43	5470	1	ERR1018256
SZAXPI015253-44	5471	1	ERR1018257
SZAXPI015254-45	5472	1	ERR1018258
SZAXPI015255-46	5473	1	ERR1018259
SZAXPI015256-47	5474	1	ERR1018260
SZAXPI015257-56	5475	1	ERR1018261
SZAXPI015258-57	5476	1	ERR1018262
SZAXPI015259-62	5477	1	ERR1018263
SZAXPI015260-74	5478	1	ERR1018264
SZAXPI015261-75	5479	1	ERR1018265
SZAXPI015262-79	5480	1	ERR1018266
SZAXPI015263-84	5481	1	ERR1018267
SZAXPI015264-87	5482	1	ERR1018268
SZAXPI015265-88	5483	1	ERR1018269
SZAXPI015266-89	5484	1	ERR1018270
SZAXPI015267-102	5485	1	ERR1018271
SZAXPI015268-109	5486	1	ERR1018272
SZAXPI015269-94	5487	1	ERR1018273
SZAXPI015270-90	5488	1	ERR1018274
SZAXPI015271-93	5489	1	ERR1018275
SZAXPI015272-108	5490	1	ERR1018276
SZAXPI015273-95	5491	1	ERR1018277
SZAXPI015274-111	5492	1	ERR1018278
SZAXPI017591-140	5493	1	ERR1018308
SZAXPI017592-142	5494	1	ERR1018309
